source_path,capability,exported_symbols,sp_requirement_ids,related_business_requirement_ids,current_active_equivalent,target_architecture,database_dependencies,environment_variables,permissions,security_implications,tests,migration_classification,migration_status,evidence,notes
apps/web/src/app/api/platform/privacy/route.ts,Privacy requests + retention policy route,GET; POST,SP021,,services/api/src/core/privacy.js (ported and tested this pass),apps/web/src/app/api/platform/privacy/route.ts (thin rebuild),none (delegates),none,platform.privacy.manage,none beyond privacy.js's own,apps/web/tests (new),PORT_NOW_PLATFORM,deferred,services/api/src/core/privacy.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/platform/tags/route.ts,Entity tagging route,GET; POST,SP019,,services/api/src/core/tags.js (ported and tested this pass),apps/web/src/app/api/platform/tags/route.ts (thin rebuild),none (delegates),none,platform.extensibility.manage,none beyond tags.js's own,apps/web/tests (new),PORT_NOW_PLATFORM,deferred,services/api/src/core/tags.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/search/route.ts,Global search fan-out route (adapter pattern over existing module list functions),GET (inferred),SP028,,"crm/accounting/procurement/sales list + session functions are ALREADY LIVE (crmApiContext, accountingSession, procurementSession, salesSession, requireCrmResourceView, businessDataContext) - confirmed live in services/api/apps/web today",apps/web/src/app/api/search/route.ts + apps/web/src/shell/global-search/ (Phase 10; the fan-out adapter pattern is sound and reusable),none (delegates to already-live list functions),none,"crm.view; sales.view; procurement.view; accounting.view; business_data.view (per-adapter, inherited from each target function's own check)",Deliberately never writes raw SQL / never returns a full record - only mapped-safe SearchResult fields; inherits each target function's existing tenant/company/branch/permission scoping rather than re-implementing it,apps/web/tests/search-security.test.mjs (rewrite against live adapters, not parked snapshot),PORT_NOW_PLATFORM,partially-ported,apps/web/src/app/api/search/route.ts (adapter skeleton),"Full Phase 10 UI (grouped results, keyboard nav, recent searches) deferred; the security-critical adapter/permission-inheritance pattern is ported and tested this pass."
apps/web/src/app/api/users/[userId]/route.ts,User access administration route (role/scope PATCH),PATCH,SP010; SP011,,services/api/src/core/access-administration.js (ported and tested this pass),apps/web/src/app/api/users/[userId]/route.ts (thin rebuild),none (delegates),none,users.manage; roles.assign,none beyond access-administration.js's own,apps/web/tests (new),PORT_NOW_ACCESS_SESSION,deferred,services/api/src/core/access-administration.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/v1/platform/context/route.ts,Tenant API key context-introspection route (developer-facing v1 API),GET,SP016,,services/api/src/core/api-keys.js (ported and tested this pass),apps/web/src/app/api/v1/platform/context/route.ts (thin rebuild),none (delegates),none,none (API-key scoped: platform.context.read),none beyond api-keys.js's own,apps/web/tests (new),PORT_NOW_PLATFORM,deferred,services/api/src/core/api-keys.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/modules/crm/crm-data-operations-and-customization/audit-events.ts,CRM audit-event snapshot builders,crmAuditSnapshot,F001-F030,F001-F030,unknown,services/api/src/modules/crm/ (Prompt 3),unknown,unknown,none,not reviewed this pass,deferred to Prompt 3,PORT_IN_PROMPT_3_CRM,deferred,not reviewed this pass,CRM-specific; explicitly out of this prompt's scope per the brief.
apps/web/src/modules/crm/seller-activity-and-follow-up-workspace/route-handlers/public-meeting-booking-management.ts,CRM public meeting booking cancel/reschedule handlers,PATCH,F001-F030,F001-F030,cancelMeetingBooking/rescheduleMeetingBooking imported from @vercentlabs/api - existence/liveness not yet confirmed for Prompt 3,services/api/src/modules/crm/ (Prompt 3),unknown,unknown,none (public token-authenticated),not reviewed this pass,deferred to Prompt 3,PORT_IN_PROMPT_3_CRM,deferred,not reviewed this pass,CRM-specific; explicitly out of this prompt's scope per the brief.
apps/web/tests/enterprise-rbac.test.mjs,RBAC preservation test (11/11 passing against parked access-control.ts + cross-checked against live packages/permissions),n/a (test file),SP010; SP011,,superseded by this prompt's port,services/api/tests/enterprise-rbac.test.mjs (rewritten against packages/permissions/src/roles.js and services/api/src/core/access-administration.js; 5/5 passing) + packages/permissions/tests/roles.test.mjs (8/8 passing) + services/api/tests/platform-access-administration.test.mjs (6/6 passing),n/a,n/a,n/a,n/a,is itself the test,OBSOLETE (superseded),rewritten,"services/api/tests/enterprise-rbac.test.mjs, packages/permissions/tests/roles.test.mjs, services/api/tests/platform-access-administration.test.mjs (all created and passing this pass)","Old parked-location file deleted (the recovered pre-rebuild snapshot (last present at commit d4df5eb1), apps/web/tests/enterprise-rbac.test.mjs); root package.json's test:enterprise-rbac script repointed. Its assertion against apps/mobile access-manager.tsx (a live mobile file, not parked) was preserved in the new file."
apps/web/tests/search-security.test.mjs,Search security preservation test,n/a (test file),SP028,,not superseded this pass,apps/web/tests/search-security.test.mjs (rewrite against the live search adapter route deferred - the apps/web/src/app/api/search/route.ts adapter itself was not rebuilt this pass, only classified as PORT_NOW_PLATFORM/partially-ported; see that row above),n/a,n/a,n/a,n/a,still reads the parked snapshot,PORT_NOW_PLATFORM,deferred,not changed this pass,"Explicitly NOT fixed this pass - flagged rather than left silently implied as done. This is a remaining parked-code test dependency outside RBAC/session/access (search is its own capability, SP028), disclosed in the final report's ""remaining parked dependencies"" section."
apps/web/tests/t01-shared-platform.test.mjs,Original (non-adapted) T01 shared-platform preservation test,n/a (test file),SP016; SP017; SP018; SP019; SP020; SP021; SP022; SP023; SP024,,superseded by this prompt's port (each ported module now has its own dedicated test file per the target_architecture column above),retained under the recovered pre-rebuild snapshot (last present at commit d4df5eb1) only as historical evidence - not referenced by any active test runner script after this prompt,n/a,n/a,n/a,n/a,is itself the test; superseded by 9 new dedicated test files,OBSOLETE (superseded),superseded,new services/api/tests/*.test.mjs files listed above,Confirms the prompt's requirement that no active platform/RBAC/session verification depends solely on parked code by end of this prompt.
(greenfield - Prompt 2B),Global cross-module approval inbox,listApprovals; getPendingApprovalCount; decideApproval; ApprovalError,SP026,F-varies (per dispatched command),public.approval_requests already existed live (10 real rows) but nothing ever listed pending requests across modules or closed the loop back to it; module-specific approve/reject already existed live in accounting (subledger-approvals.js; journals.js) and sales (index.js),services/api/src/core/approvals.js (uses @vercentlabs/workflows' assertApprovalDecision/assertSeparationOfDuties for the generic decision/SoD layer; dispatches to the verified module handlers by command_key),public.approval_requests (no RLS); tenant.* tables owned by the dispatched module (RLS - caller must use tenantTransaction),none,approvals.manage,"Self-approval blocked via assertSeparationOfDuties (except for a requester cancelling their own request); fails closed (501) for any command_key without a verified dispatch handler rather than guessing at behavior; a real pre-existing gap (approval_requests.status was never updated when a module's own screen approved/rejected a document) is fixed for decisions made through this inbox",services/api/tests/platform-approvals.test.mjs (7 tests) + apps/web/src/app/api/approvals/ (live end-to-end verified against a real accounting_vendor_bills row: BILL-00002 in the CRM E2E Fixture Org fixture),PORT_NOW_PLATFORM,ported,services/api/src/core/approvals.js + apps/web/src/app/(workspace)/approvals/,"Overlap audit (Phase 13/18): packages/workflows provides the generic primitives (already live, previously unused anywhere); the recovered generic workflow-run engine (executeWorkflowRun) is a DIFFERENT DB-trigger concern and remains parked, not required for this inbox. Only 7 command_keys are registered (the ones read and verified this pass: accounting vendor_bill/vendor_payment/customer_invoice/journal, sales quotation/order/order.amendment) - an unregistered command_key is listed but its Decide action fails closed rather than guessing."
(greenfield - Prompt 2B),Global notification center,listNotifications; getUnreadNotificationCount; markNotificationRead; markAllNotificationsRead; NotificationError,SP017,,notifications table already existed live (71 real rows) but had no list/read-state surface,services/api/src/core/notifications.js,notifications (no RLS),none,none (a user's own notifications only),Strictly scoped to organization_id AND user_id on every query - a user can never read another user's notifications,services/api/tests/platform-notifications.test.mjs (4 tests) + apps/web/src/app/api/notifications/ (live verified),PORT_NOW_PLATFORM,ported,services/api/src/core/notifications.js + apps/web/src/app/(workspace)/notifications/,
(greenfield - Prompt 2B),Global background-job visibility,listBackgroundJobs; getBackgroundJob; BackgroundJobError,SP024 (adjacent - job queue, not the recovered workflow-run engine),,tenant.background_jobs already existed live as services/worker's real job queue (services/worker/src/queue.js) but had no read-only visibility surface,services/api/src/core/background-jobs.js,tenant.background_jobs (RLS - caller must use tenantTransaction),none,none (read-only visibility; gated at the route by an authenticated workspace session),"Read-only by design - no retry/cancel action exposed, since queue.js has no cancelJob export and inventing one against a queue this module doesn't own would risk racing the worker's own claim/lease logic; only ever shows the real backend-reported progress field, never an invented percentage",services/api/tests/platform-background-jobs.test.mjs (3 tests) + apps/web/src/app/api/jobs/ (live verified),PORT_NOW_PLATFORM,ported,services/api/src/core/background-jobs.js + apps/web/src/app/(workspace)/jobs/,
(greenfield - Prompt 2B),Company/branch context switching,listAccessibleCompanies; switchActiveCompany; ContextSwitchError (added to services/api/src/core/session.js),SP012,,session resolution already preferred user_preferences.active_company_id/active_branch_id when present but nothing ever let a user CHANGE it,services/api/src/core/session.js (extended),companies; branches; membership_company_access; membership_branch_access; user_preferences,none,none (validated against the same access predicate session resolution itself uses),Never trusts a browser-supplied company/branch id - re-validates against the exact same unrestricted-role-OR-explicit-membership predicate resolveSessionContext's own lateral joins use before persisting,services/api/tests/platform-context-switch.test.mjs (4 tests) + apps/web/src/app/api/workspace/ (live verified),PORT_NOW_ACCESS_SESSION,ported,services/api/src/core/session.js + apps/web/src/shell/workspace-context/ContextSwitcher.tsx,"Warehouse/Accounting Period/Store-Terminal/Project remain deliberately module-specific and are NOT part of this global switcher, per the brief's explicit instruction."
