verification_id,journey_id,journey_name,verification_type,objective,status,execution_evidence
MFG-JRN-005-E2E-01,MFG-JRN-005,Shop floor to finished goods,E2E,Happy path for Shop floor to finished goods,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-005-E2E-02,MFG-JRN-005,Shop floor to finished goods,E2E,Permission/concurrency/validation failure for Shop floor to finished goods,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-005-E2E-03,MFG-JRN-005,Shop floor to finished goods,E2E,Retry/reversal/reconciliation for Shop floor to finished goods,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-005-UAT-01,MFG-JRN-005,Shop floor to finished goods,UAT,Primary business-role acceptance for Shop floor to finished goods,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-005-UAT-02,MFG-JRN-005,Shop floor to finished goods,UAT,Exception/recovery business-role acceptance for Shop floor to finished goods,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-006-E2E-01,MFG-JRN-006,Production inspection hold and rework,E2E,Happy path for Production inspection hold and rework,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-006-E2E-02,MFG-JRN-006,Production inspection hold and rework,E2E,Permission/concurrency/validation failure for Production inspection hold and rework,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-006-E2E-03,MFG-JRN-006,Production inspection hold and rework,E2E,Retry/reversal/reconciliation for Production inspection hold and rework,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-006-UAT-01,MFG-JRN-006,Production inspection hold and rework,UAT,Primary business-role acceptance for Production inspection hold and rework,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-006-UAT-02,MFG-JRN-006,Production inspection hold and rework,UAT,Exception/recovery business-role acceptance for Production inspection hold and rework,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-007-E2E-01,MFG-JRN-007,Batch and serial genealogy,E2E,Happy path for Batch and serial genealogy,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-007-E2E-02,MFG-JRN-007,Batch and serial genealogy,E2E,Permission/concurrency/validation failure for Batch and serial genealogy,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-007-E2E-03,MFG-JRN-007,Batch and serial genealogy,E2E,Retry/reversal/reconciliation for Batch and serial genealogy,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-007-UAT-01,MFG-JRN-007,Batch and serial genealogy,UAT,Primary business-role acceptance for Batch and serial genealogy,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-007-UAT-02,MFG-JRN-007,Batch and serial genealogy,UAT,Exception/recovery business-role acceptance for Batch and serial genealogy,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-008-E2E-01,MFG-JRN-008,Production cost to books,E2E,Happy path for Production cost to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-008-E2E-02,MFG-JRN-008,Production cost to books,E2E,Permission/concurrency/validation failure for Production cost to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-008-E2E-03,MFG-JRN-008,Production cost to books,E2E,Retry/reversal/reconciliation for Production cost to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-008-UAT-01,MFG-JRN-008,Production cost to books,UAT,Primary business-role acceptance for Production cost to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-008-UAT-02,MFG-JRN-008,Production cost to books,UAT,Exception/recovery business-role acceptance for Production cost to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-009-E2E-01,MFG-JRN-009,Make to order status loop,E2E,Happy path for Make to order status loop,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-009-E2E-02,MFG-JRN-009,Make to order status loop,E2E,Permission/concurrency/validation failure for Make to order status loop,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-009-E2E-03,MFG-JRN-009,Make to order status loop,E2E,Retry/reversal/reconciliation for Make to order status loop,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-009-UAT-01,MFG-JRN-009,Make to order status loop,UAT,Primary business-role acceptance for Make to order status loop,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-009-UAT-02,MFG-JRN-009,Make to order status loop,UAT,Exception/recovery business-role acceptance for Make to order status loop,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-010-E2E-01,MFG-JRN-010,Subcontract production,E2E,Happy path for Subcontract production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-010-E2E-02,MFG-JRN-010,Subcontract production,E2E,Permission/concurrency/validation failure for Subcontract production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-010-E2E-03,MFG-JRN-010,Subcontract production,E2E,Retry/reversal/reconciliation for Subcontract production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-010-UAT-01,MFG-JRN-010,Subcontract production,UAT,Primary business-role acceptance for Subcontract production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-010-UAT-02,MFG-JRN-010,Subcontract production,UAT,Exception/recovery business-role acceptance for Subcontract production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-011-E2E-01,MFG-JRN-011,Maintenance to production capacity,E2E,Happy path for Maintenance to production capacity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-011-E2E-02,MFG-JRN-011,Maintenance to production capacity,E2E,Permission/concurrency/validation failure for Maintenance to production capacity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-011-E2E-03,MFG-JRN-011,Maintenance to production capacity,E2E,Retry/reversal/reconciliation for Maintenance to production capacity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-011-UAT-01,MFG-JRN-011,Maintenance to production capacity,UAT,Primary business-role acceptance for Maintenance to production capacity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-011-UAT-02,MFG-JRN-011,Maintenance to production capacity,UAT,Exception/recovery business-role acceptance for Maintenance to production capacity,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-001-E2E-01,PRJ-JRN-001,Customer order to project initiation,E2E,Happy path for Customer order to project initiation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-001-E2E-02,PRJ-JRN-001,Customer order to project initiation,E2E,Permission/concurrency/validation failure for Customer order to project initiation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-001-E2E-03,PRJ-JRN-001,Customer order to project initiation,E2E,Retry/reversal/reconciliation for Customer order to project initiation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-001-UAT-01,PRJ-JRN-001,Customer order to project initiation,UAT,Primary business-role acceptance for Customer order to project initiation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-001-UAT-02,PRJ-JRN-001,Customer order to project initiation,UAT,Exception/recovery business-role acceptance for Customer order to project initiation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-002-E2E-01,PRJ-JRN-002,Plan and schedule delivery,E2E,Happy path for Plan and schedule delivery,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-002-E2E-02,PRJ-JRN-002,Plan and schedule delivery,E2E,Permission/concurrency/validation failure for Plan and schedule delivery,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-002-E2E-03,PRJ-JRN-002,Plan and schedule delivery,E2E,Retry/reversal/reconciliation for Plan and schedule delivery,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-002-UAT-01,PRJ-JRN-002,Plan and schedule delivery,UAT,Primary business-role acceptance for Plan and schedule delivery,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-002-UAT-02,PRJ-JRN-002,Plan and schedule delivery,UAT,Exception/recovery business-role acceptance for Plan and schedule delivery,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-003-E2E-01,PRJ-JRN-003,Staff to approved time,E2E,Happy path for Staff to approved time,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-003-E2E-02,PRJ-JRN-003,Staff to approved time,E2E,Permission/concurrency/validation failure for Staff to approved time,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-003-E2E-03,PRJ-JRN-003,Staff to approved time,E2E,Retry/reversal/reconciliation for Staff to approved time,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-003-UAT-01,PRJ-JRN-003,Staff to approved time,UAT,Primary business-role acceptance for Staff to approved time,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-003-UAT-02,PRJ-JRN-003,Staff to approved time,UAT,Exception/recovery business-role acceptance for Staff to approved time,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-004-E2E-01,PRJ-JRN-004,Budget to actual cost,E2E,Happy path for Budget to actual cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-004-E2E-02,PRJ-JRN-004,Budget to actual cost,E2E,Permission/concurrency/validation failure for Budget to actual cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-004-E2E-03,PRJ-JRN-004,Budget to actual cost,E2E,Retry/reversal/reconciliation for Budget to actual cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-004-UAT-01,PRJ-JRN-004,Budget to actual cost,UAT,Primary business-role acceptance for Budget to actual cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-004-UAT-02,PRJ-JRN-004,Budget to actual cost,UAT,Exception/recovery business-role acceptance for Budget to actual cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-005-E2E-01,PRJ-JRN-005,Project procurement commitments and actuals,E2E,Happy path for Project procurement commitments and actuals,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-005-E2E-02,PRJ-JRN-005,Project procurement commitments and actuals,E2E,Permission/concurrency/validation failure for Project procurement commitments and actuals,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-005-E2E-03,PRJ-JRN-005,Project procurement commitments and actuals,E2E,Retry/reversal/reconciliation for Project procurement commitments and actuals,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-005-UAT-01,PRJ-JRN-005,Project procurement commitments and actuals,UAT,Primary business-role acceptance for Project procurement commitments and actuals,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-005-UAT-02,PRJ-JRN-005,Project procurement commitments and actuals,UAT,Exception/recovery business-role acceptance for Project procurement commitments and actuals,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-006-E2E-01,PRJ-JRN-006,Project materials to cost,E2E,Happy path for Project materials to cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-006-E2E-02,PRJ-JRN-006,Project materials to cost,E2E,Permission/concurrency/validation failure for Project materials to cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-006-E2E-03,PRJ-JRN-006,Project materials to cost,E2E,Retry/reversal/reconciliation for Project materials to cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-006-UAT-01,PRJ-JRN-006,Project materials to cost,UAT,Primary business-role acceptance for Project materials to cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-006-UAT-02,PRJ-JRN-006,Project materials to cost,UAT,Exception/recovery business-role acceptance for Project materials to cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-007-E2E-01,PRJ-JRN-007,Fixed/T&M/milestone to invoice,E2E,Happy path for Fixed/T&M/milestone to invoice,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-007-E2E-02,PRJ-JRN-007,Fixed/T&M/milestone to invoice,E2E,Permission/concurrency/validation failure for Fixed/T&M/milestone to invoice,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-007-E2E-03,PRJ-JRN-007,Fixed/T&M/milestone to invoice,E2E,Retry/reversal/reconciliation for Fixed/T&M/milestone to invoice,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-007-UAT-01,PRJ-JRN-007,Fixed/T&M/milestone to invoice,UAT,Primary business-role acceptance for Fixed/T&M/milestone to invoice,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-007-UAT-02,PRJ-JRN-007,Fixed/T&M/milestone to invoice,UAT,Exception/recovery business-role acceptance for Fixed/T&M/milestone to invoice,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-008-E2E-01,PRJ-JRN-008,Live profitability and reconciliation,E2E,Happy path for Live profitability and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-008-E2E-02,PRJ-JRN-008,Live profitability and reconciliation,E2E,Permission/concurrency/validation failure for Live profitability and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-008-E2E-03,PRJ-JRN-008,Live profitability and reconciliation,E2E,Retry/reversal/reconciliation for Live profitability and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-008-UAT-01,PRJ-JRN-008,Live profitability and reconciliation,UAT,Primary business-role acceptance for Live profitability and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-008-UAT-02,PRJ-JRN-008,Live profitability and reconciliation,UAT,Exception/recovery business-role acceptance for Live profitability and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-009-E2E-01,PRJ-JRN-009,Risk/issue to controlled resolution,E2E,Happy path for Risk/issue to controlled resolution,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-009-E2E-02,PRJ-JRN-009,Risk/issue to controlled resolution,E2E,Permission/concurrency/validation failure for Risk/issue to controlled resolution,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-009-E2E-03,PRJ-JRN-009,Risk/issue to controlled resolution,E2E,Retry/reversal/reconciliation for Risk/issue to controlled resolution,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-009-UAT-01,PRJ-JRN-009,Risk/issue to controlled resolution,UAT,Primary business-role acceptance for Risk/issue to controlled resolution,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-009-UAT-02,PRJ-JRN-009,Risk/issue to controlled resolution,UAT,Exception/recovery business-role acceptance for Risk/issue to controlled resolution,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-010-E2E-01,PRJ-JRN-010,Project close and reopen,E2E,Happy path for Project close and reopen,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-010-E2E-02,PRJ-JRN-010,Project close and reopen,E2E,Permission/concurrency/validation failure for Project close and reopen,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-010-E2E-03,PRJ-JRN-010,Project close and reopen,E2E,Retry/reversal/reconciliation for Project close and reopen,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-010-UAT-01,PRJ-JRN-010,Project close and reopen,UAT,Primary business-role acceptance for Project close and reopen,PLANNED,NOT_EXECUTED_PLANNING_ONLY
PRJ-JRN-010-UAT-02,PRJ-JRN-010,Project close and reopen,UAT,Exception/recovery business-role acceptance for Project close and reopen,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-001-E2E-01,AST-JRN-001,Procure to asset capitalization,E2E,Happy path for Procure to asset capitalization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-001-E2E-02,AST-JRN-001,Procure to asset capitalization,E2E,Permission/concurrency/validation failure for Procure to asset capitalization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-001-E2E-03,AST-JRN-001,Procure to asset capitalization,E2E,Retry/reversal/reconciliation for Procure to asset capitalization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-001-UAT-01,AST-JRN-001,Procure to asset capitalization,UAT,Primary business-role acceptance for Procure to asset capitalization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-001-UAT-02,AST-JRN-001,Procure to asset capitalization,UAT,Exception/recovery business-role acceptance for Procure to asset capitalization,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-002-E2E-01,AST-JRN-002,Assign transfer and custody,E2E,Happy path for Assign transfer and custody,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-002-E2E-02,AST-JRN-002,Assign transfer and custody,E2E,Permission/concurrency/validation failure for Assign transfer and custody,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-002-E2E-03,AST-JRN-002,Assign transfer and custody,E2E,Retry/reversal/reconciliation for Assign transfer and custody,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-002-UAT-01,AST-JRN-002,Assign transfer and custody,UAT,Primary business-role acceptance for Assign transfer and custody,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-002-UAT-02,AST-JRN-002,Assign transfer and custody,UAT,Exception/recovery business-role acceptance for Assign transfer and custody,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-003-E2E-01,AST-JRN-003,Depreciation schedule to books,E2E,Happy path for Depreciation schedule to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-003-E2E-02,AST-JRN-003,Depreciation schedule to books,E2E,Permission/concurrency/validation failure for Depreciation schedule to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-003-E2E-03,AST-JRN-003,Depreciation schedule to books,E2E,Retry/reversal/reconciliation for Depreciation schedule to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-003-UAT-01,AST-JRN-003,Depreciation schedule to books,UAT,Primary business-role acceptance for Depreciation schedule to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-003-UAT-02,AST-JRN-003,Depreciation schedule to books,UAT,Exception/recovery business-role acceptance for Depreciation schedule to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-004-E2E-01,AST-JRN-004,Revaluation and impairment to books,E2E,Happy path for Revaluation and impairment to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-004-E2E-02,AST-JRN-004,Revaluation and impairment to books,E2E,Permission/concurrency/validation failure for Revaluation and impairment to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-004-E2E-03,AST-JRN-004,Revaluation and impairment to books,E2E,Retry/reversal/reconciliation for Revaluation and impairment to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-004-UAT-01,AST-JRN-004,Revaluation and impairment to books,UAT,Primary business-role acceptance for Revaluation and impairment to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-004-UAT-02,AST-JRN-004,Revaluation and impairment to books,UAT,Exception/recovery business-role acceptance for Revaluation and impairment to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-005-E2E-01,AST-JRN-005,Preventive maintenance to completion,E2E,Happy path for Preventive maintenance to completion,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-005-E2E-02,AST-JRN-005,Preventive maintenance to completion,E2E,Permission/concurrency/validation failure for Preventive maintenance to completion,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-005-E2E-03,AST-JRN-005,Preventive maintenance to completion,E2E,Retry/reversal/reconciliation for Preventive maintenance to completion,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-005-UAT-01,AST-JRN-005,Preventive maintenance to completion,UAT,Primary business-role acceptance for Preventive maintenance to completion,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-005-UAT-02,AST-JRN-005,Preventive maintenance to completion,UAT,Exception/recovery business-role acceptance for Preventive maintenance to completion,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-006-E2E-01,AST-JRN-006,Maintenance parts to stock cost,E2E,Happy path for Maintenance parts to stock cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-006-E2E-02,AST-JRN-006,Maintenance parts to stock cost,E2E,Permission/concurrency/validation failure for Maintenance parts to stock cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-006-E2E-03,AST-JRN-006,Maintenance parts to stock cost,E2E,Retry/reversal/reconciliation for Maintenance parts to stock cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-006-UAT-01,AST-JRN-006,Maintenance parts to stock cost,UAT,Primary business-role acceptance for Maintenance parts to stock cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-006-UAT-02,AST-JRN-006,Maintenance parts to stock cost,UAT,Exception/recovery business-role acceptance for Maintenance parts to stock cost,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-007-E2E-01,AST-JRN-007,Inspection calibration and corrective action,E2E,Happy path for Inspection calibration and corrective action,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-007-E2E-02,AST-JRN-007,Inspection calibration and corrective action,E2E,Permission/concurrency/validation failure for Inspection calibration and corrective action,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-007-E2E-03,AST-JRN-007,Inspection calibration and corrective action,E2E,Retry/reversal/reconciliation for Inspection calibration and corrective action,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-007-UAT-01,AST-JRN-007,Inspection calibration and corrective action,UAT,Primary business-role acceptance for Inspection calibration and corrective action,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-007-UAT-02,AST-JRN-007,Inspection calibration and corrective action,UAT,Exception/recovery business-role acceptance for Inspection calibration and corrective action,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-008-E2E-01,AST-JRN-008,Physical verification and reconciliation,E2E,Happy path for Physical verification and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-008-E2E-02,AST-JRN-008,Physical verification and reconciliation,E2E,Permission/concurrency/validation failure for Physical verification and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-008-E2E-03,AST-JRN-008,Physical verification and reconciliation,E2E,Retry/reversal/reconciliation for Physical verification and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-008-UAT-01,AST-JRN-008,Physical verification and reconciliation,UAT,Primary business-role acceptance for Physical verification and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-008-UAT-02,AST-JRN-008,Physical verification and reconciliation,UAT,Exception/recovery business-role acceptance for Physical verification and reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-009-E2E-01,AST-JRN-009,Asset sale scrap and disposal to books,E2E,Happy path for Asset sale scrap and disposal to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-009-E2E-02,AST-JRN-009,Asset sale scrap and disposal to books,E2E,Permission/concurrency/validation failure for Asset sale scrap and disposal to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-009-E2E-03,AST-JRN-009,Asset sale scrap and disposal to books,E2E,Retry/reversal/reconciliation for Asset sale scrap and disposal to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-009-UAT-01,AST-JRN-009,Asset sale scrap and disposal to books,UAT,Primary business-role acceptance for Asset sale scrap and disposal to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-009-UAT-02,AST-JRN-009,Asset sale scrap and disposal to books,UAT,Exception/recovery business-role acceptance for Asset sale scrap and disposal to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-010-E2E-01,AST-JRN-010,Project capex to asset,E2E,Happy path for Project capex to asset,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-010-E2E-02,AST-JRN-010,Project capex to asset,E2E,Permission/concurrency/validation failure for Project capex to asset,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-010-E2E-03,AST-JRN-010,Project capex to asset,E2E,Retry/reversal/reconciliation for Project capex to asset,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-010-UAT-01,AST-JRN-010,Project capex to asset,UAT,Primary business-role acceptance for Project capex to asset,PLANNED,NOT_EXECUTED_PLANNING_ONLY
AST-JRN-010-UAT-02,AST-JRN-010,Project capex to asset,UAT,Exception/recovery business-role acceptance for Project capex to asset,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-001-E2E-01,POS-JRN-001,Store terminal and shift open,E2E,Happy path for Store terminal and shift open,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-001-E2E-02,POS-JRN-001,Store terminal and shift open,E2E,Permission/concurrency/validation failure for Store terminal and shift open,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-001-E2E-03,POS-JRN-001,Store terminal and shift open,E2E,Retry/reversal/reconciliation for Store terminal and shift open,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-001-UAT-01,POS-JRN-001,Store terminal and shift open,UAT,Primary business-role acceptance for Store terminal and shift open,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-001-UAT-02,POS-JRN-001,Store terminal and shift open,UAT,Exception/recovery business-role acceptance for Store terminal and shift open,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-002-E2E-01,POS-JRN-002,Scan cart price and checkout,E2E,Happy path for Scan cart price and checkout,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-002-E2E-02,POS-JRN-002,Scan cart price and checkout,E2E,Permission/concurrency/validation failure for Scan cart price and checkout,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-002-E2E-03,POS-JRN-002,Scan cart price and checkout,E2E,Retry/reversal/reconciliation for Scan cart price and checkout,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-002-UAT-01,POS-JRN-002,Scan cart price and checkout,UAT,Primary business-role acceptance for Scan cart price and checkout,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-002-UAT-02,POS-JRN-002,Scan cart price and checkout,UAT,Exception/recovery business-role acceptance for Scan cart price and checkout,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-003-E2E-01,POS-JRN-003,Tender to completed sale,E2E,Happy path for Tender to completed sale,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-003-E2E-02,POS-JRN-003,Tender to completed sale,E2E,Permission/concurrency/validation failure for Tender to completed sale,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-003-E2E-03,POS-JRN-003,Tender to completed sale,E2E,Retry/reversal/reconciliation for Tender to completed sale,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-003-UAT-01,POS-JRN-003,Tender to completed sale,UAT,Primary business-role acceptance for Tender to completed sale,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-003-UAT-02,POS-JRN-003,Tender to completed sale,UAT,Exception/recovery business-role acceptance for Tender to completed sale,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-004-E2E-01,POS-JRN-004,Hold and resume sale,E2E,Happy path for Hold and resume sale,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-004-E2E-02,POS-JRN-004,Hold and resume sale,E2E,Permission/concurrency/validation failure for Hold and resume sale,PLANNED,NOT_EXECUTED_PLANNING_ONLY
POS-JRN-004-E2E-03,POS-JRN-004,Hold and resume sale,E2E,Retry/reversal/reconciliation for Hold and resume sale,PLANNED,NOT_EXECUTED_PLANNING_ONLY
