planned_test_id,authority_type,authority_id,requirement_id,requirement_type,verification_type,priority,objective,required_environment,status,execution_evidence,owner
PVT-F044-REP-001,BUSINESS_FEATURE,F044,F044-REP-001,REP,REPORT_RECONCILIATION,P0,Verify approved requirement F044-REP-001: Reporting,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-AI-001,BUSINESS_FEATURE,F044,F044-AI-001,AI,AI_EVALUATION,P0,Verify approved requirement F044-AI-001: AI authority boundary,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-INT-001,BUSINESS_FEATURE,F044,F044-INT-001,INT,INTEGRATION_CONTRACT,P0,Verify approved requirement F044-INT-001: Cross-module handoff,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-INT-002,BUSINESS_FEATURE,F044,F044-INT-002,INT,INTEGRATION_CONTRACT,P0,Verify approved requirement F044-INT-002: Failure/reversal contract,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-API-001,BUSINESS_FEATURE,F044,F044-API-001,API,API_CONTRACT,P0,Verify approved requirement F044-API-001: Command API,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-API-002,BUSINESS_FEATURE,F044,F044-API-002,API,API_CONTRACT,P0,Verify approved requirement F044-API-002: Query API,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-PERF-001,BUSINESS_FEATURE,F044,F044-PERF-001,PERF,PERFORMANCE,P0,Verify approved requirement F044-PERF-001: Scale envelope,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-OBS-001,BUSINESS_FEATURE,F044,F044-OBS-001,OBS,OBSERVABILITY,P0,Verify approved requirement F044-OBS-001: Observability,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-E2E-001,BUSINESS_FEATURE,F044,F044-E2E-001,E2E,BROWSER_E2E,P0,Verify approved requirement F044-E2E-001: Happy-path E2E,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-E2E-002,BUSINESS_FEATURE,F044,F044-E2E-002,E2E,BROWSER_E2E,P0,Verify approved requirement F044-E2E-002: Negative/recovery E2E,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-UAT-001,BUSINESS_FEATURE,F044,F044-UAT-001,UAT,HUMAN_UAT,P0,Verify approved requirement F044-UAT-001: Operator UAT,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F044-UAT-002,BUSINESS_FEATURE,F044,F044-UAT-002,UAT,HUMAN_UAT,P0,Verify approved requirement F044-UAT-002: Control UAT,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-CAP-001,BUSINESS_FEATURE,F045,F045-CAP-001,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F045-CAP-001: Operator outcome,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-CAP-002,BUSINESS_FEATURE,F045,F045-CAP-002,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F045-CAP-002: Enterprise breadth,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-CAP-003,BUSINESS_FEATURE,F045,F045-CAP-003,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F045-CAP-003: Module boundary,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-FR-001,BUSINESS_FEATURE,F045,F045-FR-001,FR,DOMAIN_UNIT,P0,Verify approved requirement F045-FR-001: Primary workflow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-FR-002,BUSINESS_FEATURE,F045,F045-FR-002,FR,DOMAIN_UNIT,P0,Verify approved requirement F045-FR-002: Commercial history,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-FR-003,BUSINESS_FEATURE,F045,F045-FR-003,FR,DOMAIN_UNIT,P0,Verify approved requirement F045-FR-003: Enterprise volume,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-US-001,BUSINESS_FEATURE,F045,F045-US-001,US,UX_ACCEPTANCE,P0,Verify approved requirement F045-US-001: Front-line job,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-US-002,BUSINESS_FEATURE,F045,F045-US-002,US,UX_ACCEPTANCE,P0,Verify approved requirement F045-US-002: Manager/control job,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-FLOW-001,BUSINESS_FEATURE,F045,F045-FLOW-001,FLOW,FLOW_INTEGRATION,P0,Verify approved requirement F045-FLOW-001: Lifecycle flow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-FLOW-002,BUSINESS_FEATURE,F045,F045-FLOW-002,FLOW,FLOW_INTEGRATION,P0,Verify approved requirement F045-FLOW-002: Retry/reconciliation flow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-BR-001,BUSINESS_FEATURE,F045,F045-BR-001,BR,DOMAIN_PROPERTY,P0,Verify approved requirement F045-BR-001: Authoritative service,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-BR-002,BUSINESS_FEATURE,F045,F045-BR-002,BR,DOMAIN_PROPERTY,P0,Verify approved requirement F045-BR-002: Historical truth,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-DATA-001,BUSINESS_FEATURE,F045,F045-DATA-001,DATA,DATABASE_CONSTRAINT,P0,Verify approved requirement F045-DATA-001: Entity contract,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-DATA-002,BUSINESS_FEATURE,F045,F045-DATA-002,DATA,DATABASE_CONSTRAINT,P0,Verify approved requirement F045-DATA-002: Snapshot/lineage,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-VAL-001,BUSINESS_FEATURE,F045,F045-VAL-001,VAL,VALIDATION_NEGATIVE,P0,Verify approved requirement F045-VAL-001: Server validation,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-VAL-002,BUSINESS_FEATURE,F045,F045-VAL-002,VAL,VALIDATION_NEGATIVE,P0,Verify approved requirement F045-VAL-002: Actionable errors,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-CALC-001,BUSINESS_FEATURE,F045,F045-CALC-001,CALC,GOLDEN_PROPERTY,P0,Verify approved requirement F045-CALC-001: Deterministic calculation,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-UX-001,BUSINESS_FEATURE,F045,F045-UX-001,UX,UI_ACCESSIBILITY,P0,Verify approved requirement F045-UX-001: Primary workspace,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-UX-002,BUSINESS_FEATURE,F045,F045-UX-002,UX,UI_ACCESSIBILITY,P0,Verify approved requirement F045-UX-002: Interaction states,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-UX-003,BUSINESS_FEATURE,F045,F045-UX-003,UX,UI_ACCESSIBILITY,P0,Verify approved requirement F045-UX-003: Accessible density,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-SEC-001,BUSINESS_FEATURE,F045,F045-SEC-001,SEC,SECURITY_NEGATIVE,P0,Verify approved requirement F045-SEC-001: Authorization,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-SEC-002,BUSINESS_FEATURE,F045,F045-SEC-002,SEC,SECURITY_NEGATIVE,P0,Verify approved requirement F045-SEC-002: Sensitive fields,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-AUTO-001,BUSINESS_FEATURE,F045,F045-AUTO-001,AUTO,ASYNC_IDEMPOTENCY,P0,Verify approved requirement F045-AUTO-001: Automation governance,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-APP-001,BUSINESS_FEATURE,F045,F045-APP-001,APP,APPROVAL_SOD,P0,Verify approved requirement F045-APP-001: Approval policy,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-NOTIF-001,BUSINESS_FEATURE,F045,F045-NOTIF-001,NOTIF,NOTIFICATION_DELIVERY,P0,Verify approved requirement F045-NOTIF-001: Notifications,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-REP-001,BUSINESS_FEATURE,F045,F045-REP-001,REP,REPORT_RECONCILIATION,P0,Verify approved requirement F045-REP-001: Reporting,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-AI-001,BUSINESS_FEATURE,F045,F045-AI-001,AI,AI_EVALUATION,P0,Verify approved requirement F045-AI-001: AI authority boundary,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-INT-001,BUSINESS_FEATURE,F045,F045-INT-001,INT,INTEGRATION_CONTRACT,P0,Verify approved requirement F045-INT-001: Cross-module handoff,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-INT-002,BUSINESS_FEATURE,F045,F045-INT-002,INT,INTEGRATION_CONTRACT,P0,Verify approved requirement F045-INT-002: Failure/reversal contract,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-API-001,BUSINESS_FEATURE,F045,F045-API-001,API,API_CONTRACT,P0,Verify approved requirement F045-API-001: Command API,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-API-002,BUSINESS_FEATURE,F045,F045-API-002,API,API_CONTRACT,P0,Verify approved requirement F045-API-002: Query API,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-PERF-001,BUSINESS_FEATURE,F045,F045-PERF-001,PERF,PERFORMANCE,P0,Verify approved requirement F045-PERF-001: Scale envelope,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-OBS-001,BUSINESS_FEATURE,F045,F045-OBS-001,OBS,OBSERVABILITY,P0,Verify approved requirement F045-OBS-001: Observability,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-E2E-001,BUSINESS_FEATURE,F045,F045-E2E-001,E2E,BROWSER_E2E,P0,Verify approved requirement F045-E2E-001: Happy-path E2E,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-E2E-002,BUSINESS_FEATURE,F045,F045-E2E-002,E2E,BROWSER_E2E,P0,Verify approved requirement F045-E2E-002: Negative/recovery E2E,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-UAT-001,BUSINESS_FEATURE,F045,F045-UAT-001,UAT,HUMAN_UAT,P0,Verify approved requirement F045-UAT-001: Operator UAT,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F045-UAT-002,BUSINESS_FEATURE,F045,F045-UAT-002,UAT,HUMAN_UAT,P0,Verify approved requirement F045-UAT-002: Control UAT,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-CAP-001,BUSINESS_FEATURE,F046,F046-CAP-001,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F046-CAP-001: Operator outcome,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-CAP-002,BUSINESS_FEATURE,F046,F046-CAP-002,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F046-CAP-002: Enterprise breadth,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-CAP-003,BUSINESS_FEATURE,F046,F046-CAP-003,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F046-CAP-003: Module boundary,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-FR-001,BUSINESS_FEATURE,F046,F046-FR-001,FR,DOMAIN_UNIT,P0,Verify approved requirement F046-FR-001: Primary workflow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-FR-002,BUSINESS_FEATURE,F046,F046-FR-002,FR,DOMAIN_UNIT,P0,Verify approved requirement F046-FR-002: Commercial history,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-FR-003,BUSINESS_FEATURE,F046,F046-FR-003,FR,DOMAIN_UNIT,P0,Verify approved requirement F046-FR-003: Enterprise volume,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-US-001,BUSINESS_FEATURE,F046,F046-US-001,US,UX_ACCEPTANCE,P0,Verify approved requirement F046-US-001: Front-line job,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-US-002,BUSINESS_FEATURE,F046,F046-US-002,US,UX_ACCEPTANCE,P0,Verify approved requirement F046-US-002: Manager/control job,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-FLOW-001,BUSINESS_FEATURE,F046,F046-FLOW-001,FLOW,FLOW_INTEGRATION,P0,Verify approved requirement F046-FLOW-001: Lifecycle flow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-FLOW-002,BUSINESS_FEATURE,F046,F046-FLOW-002,FLOW,FLOW_INTEGRATION,P0,Verify approved requirement F046-FLOW-002: Retry/reconciliation flow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-BR-001,BUSINESS_FEATURE,F046,F046-BR-001,BR,DOMAIN_PROPERTY,P0,Verify approved requirement F046-BR-001: Authoritative service,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-BR-002,BUSINESS_FEATURE,F046,F046-BR-002,BR,DOMAIN_PROPERTY,P0,Verify approved requirement F046-BR-002: Historical truth,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-DATA-001,BUSINESS_FEATURE,F046,F046-DATA-001,DATA,DATABASE_CONSTRAINT,P0,Verify approved requirement F046-DATA-001: Entity contract,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-DATA-002,BUSINESS_FEATURE,F046,F046-DATA-002,DATA,DATABASE_CONSTRAINT,P0,Verify approved requirement F046-DATA-002: Snapshot/lineage,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-VAL-001,BUSINESS_FEATURE,F046,F046-VAL-001,VAL,VALIDATION_NEGATIVE,P0,Verify approved requirement F046-VAL-001: Server validation,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-VAL-002,BUSINESS_FEATURE,F046,F046-VAL-002,VAL,VALIDATION_NEGATIVE,P0,Verify approved requirement F046-VAL-002: Actionable errors,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-CALC-001,BUSINESS_FEATURE,F046,F046-CALC-001,CALC,GOLDEN_PROPERTY,P0,Verify approved requirement F046-CALC-001: Deterministic calculation,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-UX-001,BUSINESS_FEATURE,F046,F046-UX-001,UX,UI_ACCESSIBILITY,P0,Verify approved requirement F046-UX-001: Primary workspace,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-UX-002,BUSINESS_FEATURE,F046,F046-UX-002,UX,UI_ACCESSIBILITY,P0,Verify approved requirement F046-UX-002: Interaction states,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-UX-003,BUSINESS_FEATURE,F046,F046-UX-003,UX,UI_ACCESSIBILITY,P0,Verify approved requirement F046-UX-003: Accessible density,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-SEC-001,BUSINESS_FEATURE,F046,F046-SEC-001,SEC,SECURITY_NEGATIVE,P0,Verify approved requirement F046-SEC-001: Authorization,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-SEC-002,BUSINESS_FEATURE,F046,F046-SEC-002,SEC,SECURITY_NEGATIVE,P0,Verify approved requirement F046-SEC-002: Sensitive fields,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-AUTO-001,BUSINESS_FEATURE,F046,F046-AUTO-001,AUTO,ASYNC_IDEMPOTENCY,P0,Verify approved requirement F046-AUTO-001: Automation governance,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-APP-001,BUSINESS_FEATURE,F046,F046-APP-001,APP,APPROVAL_SOD,P0,Verify approved requirement F046-APP-001: Approval policy,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-NOTIF-001,BUSINESS_FEATURE,F046,F046-NOTIF-001,NOTIF,NOTIFICATION_DELIVERY,P0,Verify approved requirement F046-NOTIF-001: Notifications,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-REP-001,BUSINESS_FEATURE,F046,F046-REP-001,REP,REPORT_RECONCILIATION,P0,Verify approved requirement F046-REP-001: Reporting,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-AI-001,BUSINESS_FEATURE,F046,F046-AI-001,AI,AI_EVALUATION,P0,Verify approved requirement F046-AI-001: AI authority boundary,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-INT-001,BUSINESS_FEATURE,F046,F046-INT-001,INT,INTEGRATION_CONTRACT,P0,Verify approved requirement F046-INT-001: Cross-module handoff,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-INT-002,BUSINESS_FEATURE,F046,F046-INT-002,INT,INTEGRATION_CONTRACT,P0,Verify approved requirement F046-INT-002: Failure/reversal contract,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-API-001,BUSINESS_FEATURE,F046,F046-API-001,API,API_CONTRACT,P0,Verify approved requirement F046-API-001: Command API,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-API-002,BUSINESS_FEATURE,F046,F046-API-002,API,API_CONTRACT,P0,Verify approved requirement F046-API-002: Query API,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-PERF-001,BUSINESS_FEATURE,F046,F046-PERF-001,PERF,PERFORMANCE,P0,Verify approved requirement F046-PERF-001: Scale envelope,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-OBS-001,BUSINESS_FEATURE,F046,F046-OBS-001,OBS,OBSERVABILITY,P0,Verify approved requirement F046-OBS-001: Observability,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-E2E-001,BUSINESS_FEATURE,F046,F046-E2E-001,E2E,BROWSER_E2E,P0,Verify approved requirement F046-E2E-001: Happy-path E2E,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-E2E-002,BUSINESS_FEATURE,F046,F046-E2E-002,E2E,BROWSER_E2E,P0,Verify approved requirement F046-E2E-002: Negative/recovery E2E,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-UAT-001,BUSINESS_FEATURE,F046,F046-UAT-001,UAT,HUMAN_UAT,P0,Verify approved requirement F046-UAT-001: Operator UAT,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F046-UAT-002,BUSINESS_FEATURE,F046,F046-UAT-002,UAT,HUMAN_UAT,P0,Verify approved requirement F046-UAT-002: Control UAT,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-CAP-001,BUSINESS_FEATURE,F047,F047-CAP-001,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F047-CAP-001: Operator outcome,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-CAP-002,BUSINESS_FEATURE,F047,F047-CAP-002,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F047-CAP-002: Enterprise breadth,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-CAP-003,BUSINESS_FEATURE,F047,F047-CAP-003,CAP,CAPABILITY_ACCEPTANCE,P0,Verify approved requirement F047-CAP-003: Module boundary,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-FR-001,BUSINESS_FEATURE,F047,F047-FR-001,FR,DOMAIN_UNIT,P0,Verify approved requirement F047-FR-001: Primary workflow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-FR-002,BUSINESS_FEATURE,F047,F047-FR-002,FR,DOMAIN_UNIT,P0,Verify approved requirement F047-FR-002: Commercial history,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-FR-003,BUSINESS_FEATURE,F047,F047-FR-003,FR,DOMAIN_UNIT,P0,Verify approved requirement F047-FR-003: Enterprise volume,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-US-001,BUSINESS_FEATURE,F047,F047-US-001,US,UX_ACCEPTANCE,P0,Verify approved requirement F047-US-001: Front-line job,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-US-002,BUSINESS_FEATURE,F047,F047-US-002,US,UX_ACCEPTANCE,P0,Verify approved requirement F047-US-002: Manager/control job,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-FLOW-001,BUSINESS_FEATURE,F047,F047-FLOW-001,FLOW,FLOW_INTEGRATION,P0,Verify approved requirement F047-FLOW-001: Lifecycle flow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-FLOW-002,BUSINESS_FEATURE,F047,F047-FLOW-002,FLOW,FLOW_INTEGRATION,P0,Verify approved requirement F047-FLOW-002: Retry/reconciliation flow,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-BR-001,BUSINESS_FEATURE,F047,F047-BR-001,BR,DOMAIN_PROPERTY,P0,Verify approved requirement F047-BR-001: Authoritative service,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-BR-002,BUSINESS_FEATURE,F047,F047-BR-002,BR,DOMAIN_PROPERTY,P0,Verify approved requirement F047-BR-002: Historical truth,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
PVT-F047-DATA-001,BUSINESS_FEATURE,F047,F047-DATA-001,DATA,DATABASE_CONSTRAINT,P0,Verify approved requirement F047-DATA-001: Entity contract,CI/STAGING as appropriate,PLANNED,NOT_EXECUTED_PLANNING_ONLY,Implementation Verification AI + human UAT owner where required
