feature_id,scope,module,category,feature_name,source_section,status,uat_status,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,primary_gap,secondary_gap,blocker_type,recommended_prompt_cluster,notes
ASSET-003,module,Assets,Capitalization,Capitalization with self-approval block,Part 18,COMPLETE,LIMITED,,capitalizeManagedAsset real+governed,,,,"API-only, no UI",,UI,52-56,
ASSET-004,module,Assets,Assignment,Assignment / custody,Part 18,COMPLETE,LIMITED,,assignAsset auto-returns prior assignment,,,,"API-only, no UI",,UI,52-56,
ASSET-005,module,Assets,Transfers,Transfers,Part 18,MISSING,NOT_READY,,,asset_transfers (full schema),assets.transfer,,No createTransfer/approveTransfer function exists at all,,SERVICE,52-56,Worse than prior audit's read-only characterization
ASSET-006,module,Assets,Depreciation,Depreciation (operational Assets module),Part 18,MISSING,NOT_READY,,,asset_depreciation_schedules/runs (full schema),assets.depreciate/accounting.handoff,,Zero code anywhere writes to either depreciation table,,SERVICE,52-56,"Distinct from Accounting's real fixed-asset engine - see ACC matrix"
ASSET-007,module,Assets,Maintenance,Maintenance order create/complete,Part 18,PARTIAL,LIMITED,,createMaintenanceOrder real; completeMaintenanceOrder real but,,,,completeMaintenanceOrder has no route wired anywhere in apps/web,,UI,52-56,Order can be opened but never closed through the product
ASSET-008,module,Assets,Maintenance,Maintenance parts consumption,Part 18,MISSING,NOT_READY,,,asset_maintenance_parts.stock_movement_id FK,,,"Completely orphaned - zero references anywhere in services/api/src, contradicts prior audit's characterization",,INTEGRATION,52-56,Most orphaned single table found across all 3 modules
ASSET-009,module,Assets,Maintenance,Preventive maintenance scheduling,Part 18,FOUNDATION_ONLY,NOT_READY,,,"asset_maintenance_plans (real, dashboard queries it)",,,No function creates or updates a maintenance plan,,SERVICE,52-56,Dashboard can display a due-count that can never be populated
ASSET-010,module,Assets,Inspections,Inspections,Part 18,MISSING,NOT_READY,,,asset_inspections (full schema),assets.inspect,,"No create function exists - no way to seed a single inspection record",,SERVICE,52-56,
ASSET-011,module,Assets,Inspections,Calibration,Part 18,MISSING,NOT_READY,,,inspection_type enum includes calibration,,,Same gap as inspections generally,,SERVICE,52-56,
ASSET-012,module,Assets,Allocation,Department/cost-center allocation,Part 18,PARTIAL,LIMITED,,side effect of assignAsset only,,,,No standalone allocation/reallocation workflow,,SERVICE,52-56,
ASSET-013,module,Assets,Disposal,Disposal with gain/loss + self-approval block,Part 18,COMPLETE,LIMITED,,disposeManagedAsset real,,,,"API-only, no UI; also no GL posting",,UI,52-56,
ASSET-014,module,Assets,Analytics,Dashboard,Part 18,PARTIAL,LIMITED,assets-dashboard.tsx,getAssetsDashboard real aggregation,,,,"Single dashboard, no drill-down/trend",,REPORTING,52-56,
ASSET-015,module,Assets,Cross-module,Assets to Accounting GL handoff,Part 18,MISSING,BLOCKED,,,disposals.accounting_journal_id / depreciation_runs.accounting_batch_id never populated,assets.accounting.handoff,,disposeManagedAsset never posts a GL entry despite dedicated permission and FK columns,,INTEGRATION,77-79,
POS-001,module,Point of Sale,Checkout,Sell/checkout backend,Part 17,COMPLETE,LIMITED,,completePointOfSale real+atomic+idempotent,,,,No UI form exists,,UI,57-61,
POS-002,module,Point of Sale,Checkout,Sell/checkout UI,Part 17,UI_ONLY,NOT_READY,"[resource]/page.tsx checkout renders only static text",,,,,"Cashier cannot ring up a sale through the app at all",,UI,57-61,POS's own page literally tells the user to use the API directly
POS-003,module,Point of Sale,Products,Products/catalog,Part 17,MISSING,NOT_READY,,,,,,No POS-specific product/catalog layer or barcode field,,DATABASE,57-61,
POS-004,module,Point of Sale,Payments,Payments (multi-method),Part 17,COMPLETE,LIMITED,,pos_payments atomic capture,,,,Same UI gap as checkout,,UI,57-61,
POS-005,module,Point of Sale,Receipts,Receipt generation,Part 17,PARTIAL,LIMITED,,receipt_number generated/unique,,,,No PDF/print rendering or receipt-view route,,UI,57-61,
POS-006,module,Point of Sale,Cash,Cash management (open/close/reconcile),Part 17,COMPLETE,LIMITED,,openShift/closeShift FOR UPDATE locking,,,,paid_in/paid_out has no creation function despite type existing,,SERVICE,57-61,
POS-007,module,Point of Sale,Shifts,Shifts,Part 17,COMPLETE,LIMITED,,openShift/closeShift real,,,,UI gap only,,UI,57-61,
POS-008,module,Point of Sale,Registers,Registers/terminals,Part 17,COMPLETE,LIMITED,,createTerminal real,terminal_key_hash column,,,No hardware-pairing flow despite hash column existing,,SERVICE,57-61,
POS-009,module,Point of Sale,Returns,Returns,Part 17,PARTIAL,LIMITED,,createPointOfSaleReturn real+approval-gated,,,,"Self-approval flag stored but not enforced; restock does not actually post a stock movement - inventory not truly reversed",,SERVICE,57-61,Correctness risk
POS-010,module,Point of Sale,Discounts,Discounts,Part 17,FOUNDATION_ONLY,LIMITED,,raw discountAmount per line,,pos.price.override,,"No governed discount engine, just a free-text amount",,SERVICE,57-61,
POS-011,module,Point of Sale,Promotions,Promotions,Part 17,MISSING,NOT_READY,,,,,,Zero references to promotion/coupon anywhere,,DATABASE,57-61,
POS-012,module,Point of Sale,Loyalty,Loyalty,Part 17,MISSING,NOT_READY,,,,,,No loyalty tables/columns/code anywhere,,DATABASE,57-61,
POS-013,module,Point of Sale,Hardware,Hardware/barcode/printer,Part 17,MISSING,NOT_READY,,,,,,Zero hits for barcode/printer/scanner/hardware,,MOBILE_WEB,57-61,
POS-014,module,Point of Sale,Offline,Offline behavior,Part 17,MISSING,NOT_READY,,,,,,"No service worker, IndexedDB, or offline-queue code found",,MOBILE_WEB,57-61,
POS-015,module,Point of Sale,Analytics,Dashboard (4 real metrics),Part 17,FOUNDATION_ONLY,LIMITED,,real live-computed counts,,pos.reports.view,,"pos.reports.view permission defined, no dedicated reports resource",,REPORTING,57-61,
POS-016,module,Point of Sale,Advanced,Multi-store/omnichannel,Part 17,PARTIAL,LIMITED,,multiple pos_stores per company genuinely supported,pos_sales.sales_order_id/accounting_invoice_id never set,,,Omnichannel linkage columns are dead schema,,DATABASE,57-61,
POS-017,module,Point of Sale,Cross-module,POS to Accounting,Part 17,MISSING,BLOCKED,,,,,,No journal entry/invoice/GL posting created anywhere when a sale completes,,INTEGRATION,77-79,Contradicts dashboard-component copy claiming Accounting stays aligned
POS-018,module,Point of Sale,Cross-module,POS to Stock (sale),Part 17,COMPLETE,LIMITED,,atomic stock_movements insert in same transaction as sale,,,,Strongest part of the module,,,57-61,"Positive finding, but see STOCK-026 (balance not updated)"
POS-019,module,Point of Sale,Cross-module,POS to Stock (return/restock),Part 17,PARTIAL,NOT_READY,,restock boolean recorded,pos_return_lines.stock_movement_id never populated,,,"Return-side restock is intent-only, inventory never actually put back",,INTEGRATION,57-61,
QUAL-001,module,Quality,Setup,Quality settings/parameters,Part 16,PARTIAL,LIMITED,,read by completeInspection,quality_settings,quality.settings.manage,,No function ever updates quality_settings - policy is read-only in practice,,SERVICE,62-65,
QUAL-002,module,Quality,Inspections,"Inspections (incoming/in-process/final) create/complete",Part 16,COMPLETE,LIMITED,,createInspection/completeInspection real,,,,No UI form - read-only table only,,UI,62-65,
QUAL-003,module,Quality,NCR,Non-conformance (NCR) create,Part 16,COMPLETE,LIMITED,,createNonconformance real full field set,,,,No status-transition function - status stays open forever via API,,SERVICE,62-65,
QUAL-004,module,Quality,CAPA,CAPA,Part 16,FOUNDATION_ONLY,NOT_READY,,createCapa exists in service and .d.ts,,,,Never called from any route - unreachable dead code from the app's perspective,,UI,62-65,Real function, zero callers - distinct failure mode
QUAL-005,module,Quality,CAPA,Root-cause analysis,Part 16,FOUNDATION_ONLY,NOT_READY,,,root_cause_method/root_cause columns exist,,,Inherits same unreachability as CAPA,,UI,62-65,
QUAL-006,module,Quality,Supplier,Supplier quality scorecards,Part 16,FOUNDATION_ONLY,NOT_READY,,,"quality_supplier_records (listable, dashboard-linked)",,,No service function ever inserts/updates a row - table will always be empty,,SERVICE,62-65,Pure orphaned schema exposed as a UI link
QUAL-007,module,Quality,Customer,Customer quality/complaints,Part 16,PARTIAL,LIMITED,,reuses generic inspection engine,quality_plans.plan_type customer_return,,,No distinct complaint-intake workflow,,SERVICE,62-65,
QUAL-008,module,Quality,Audits,Compliance audits,Part 16,UI_ONLY,NOT_READY,"audits linked from dashboard nav",,quality_audits/audit_findings (well-modeled),,,No createAudit function exists anywhere in the service,,SERVICE,62-65,Nav link leads to a permanently-empty list
QUAL-009,module,Quality,Holds,Quality holds gate Stock/Procurement/Manufacturing,Part 16,FOUNDATION_ONLY,NOT_READY,,auto-inserted on failed inspection,quality_holds,quality.hold (unused),,"Confirmed advisory only - zero references to quality_hold in stock/procurement/manufacturing modules; no release function exists either",,INTEGRATION,62-65,P0-adjacent: held batches can still ship/receive/be consumed
QUAL-010,module,Quality,Calibration,Calibration linkage,Part 16,MISSING,NOT_READY,,,,,,No calibration table/column/reference anywhere,,DATABASE,62-65,
QUAL-011,module,Quality,Analytics,Dashboard (real counts),Part 16,FOUNDATION_ONLY,LIMITED,quality-dashboard.tsx,real computed counts,,quality.reports.view,,No dedicated report route exists,,REPORTING,62-65,
SUP-001,module,Support,Tickets,Ticket create/view backend,Part 15,COMPLETE,LIMITED,,createSupportTicket real+SLA-derived due dates,,,,No UI to create a ticket,,UI,66-69,
SUP-002,module,Support,Queues,Queues,Part 15,COMPLETE,LIMITED,,createSupportQueue real,support_queues/queue_members,,,,,,66-69,
SUP-003,module,Support,Assignment,Assignment (manual only),Part 15,COMPLETE,LIMITED,,assignSupportTicket real+audit row,,,,3 of 4 assignment_strategy enum values have no executing logic,,SERVICE,66-69,
SUP-004,module,Support,Channels,"Channels (email/chat/portal)",Part 15,FOUNDATION_ONLY,NOT_READY,,addSupportCommunication just inserts a row,channel enum stored,,,No actual email/chat integration; nothing sends anything externally,,INTEGRATION,66-69,
SUP-005,module,Support,Workflow,Status transition workflow,Part 15,COMPLETE,LIMITED,,transitionSupportTicket 9-action state machine,,,,UI gap only,,UI,66-69,
SUP-006,module,Support,SLA,SLA due-date computation,Part 15,COMPLETE,LIMITED,,real breach counts from now() comparisons,,,,pause_on_pending_customer/business_hours_only flags stored but never applied,,SERVICE,66-69,
SUP-007,module,Support,Escalation,Escalation,Part 15,MISSING,NOT_READY,,,support_escalations/escalation_policies (full schema),support.escalation.manage,,"CONFIRMED: no function anywhere - manual or automatic - creates an escalation; worse than 'auto-trigger not wired'",,SCHEDULER,66-69,Nav link and dashboard counter point at a table nothing ever writes to
SUP-008,module,Support,Portal,Customer service portal,Part 15,MISSING,NOT_READY,,,,,,No customer-facing route found anywhere,,UI,66-69,
SUP-009,module,Support,Knowledge,Knowledge base,Part 15,PARTIAL,LIMITED,,createKnowledgeArticle real+versioned,"support_ticket_knowledge_links (never written)",,,"No linking, no feedback capture (helpful_count never incremented)",,SERVICE,66-69,
SUP-010,module,Support,Canned,Canned responses,Part 15,MISSING,NOT_READY,,,,,,Zero references anywhere,,DATABASE,66-69,
SUP-011,module,Support,CSAT,CSAT,Part 15,MISSING,NOT_READY,,,"satisfaction_score column (CHECK 1-5)",,,"Column exists, never read or written by any code",,SERVICE,66-69,
SUP-012,module,Support,Automation,Automation,Part 15,MISSING,NOT_READY,,,,,,"No rule engine, no auto-close, no auto-assignment execution",,SCHEDULER,66-69,
SUP-013,module,Support,Notes,Internal/private notes,Part 15,COMPLETE,READY,,visibility correctly gated server-side (not just hidden client-side),,support.sensitive.view,,,,,66-69,Genuinely solid security-conscious implementation
SUP-014,module,Support,Advanced,Omnichannel / AI triage,Part 15,MISSING,NOT_READY,,,,,,"No AI/ML code, no omnichannel unification",,PRODUCT_DECISION,66-69,
HR-001,module,HR & Payroll,Employees,Employee master record create,Part 14,PARTIAL,LIMITED,,createEmployee real,,,,No update path exists anywhere - employee can be created but never edited,,SERVICE,70-76,
HR-002,module,HR & Payroll,Org structure,"Departments, designations",Part 14,FOUNDATION_ONLY,NOT_READY,,,hr_departments/designations,,,No create/update function for either resource anywhere,,SERVICE,70-76,
HR-003,module,HR & Payroll,Recruitment,Recruitment / candidates,Part 14,MISSING,BLOCKED,,,,,,"No schema, no service code, no route, no UI reference anywhere",,PRODUCT_DECISION,70-76,
HR-004,module,HR & Payroll,Onboarding,Formal onboarding workflow,Part 14,MISSING,BLOCKED,,,joining_date/probation_end_date columns exist,,,Columns exist but nothing reads/transitions them,,SERVICE,70-76,
HR-005,module,HR & Payroll,Attendance,Attendance capture,Part 14,FOUNDATION_ONLY,BLOCKED,,consumed by calculatePayrollRun,hr_attendance (rich table),,,"Zero capture mechanism - no create/import function, no INSERT anywhere",,SERVICE,70-76,Payroll calculator reads a table nothing can ever populate
HR-006,module,HR & Payroll,Shifts,Shifts,Part 14,FOUNDATION_ONLY,BLOCKED,,,hr_shifts/employee_shift_assignments,,,No create function; zero INSERT sites found,,SERVICE,70-76,
HR-007,module,HR & Payroll,Leave,"Leave types, balances",Part 14,FOUNDATION_ONLY,LIMITED,,updated as side-effect of reviewLeaveRequest only,hr_leave_types/leave_balances,,,No way to create a leave type or seed opening balance,,SERVICE,70-76,
HR-008,module,HR & Payroll,Leave,Leave request and approval,Part 14,COMPLETE,READY,,createLeaveRequest/reviewLeaveRequest real self-approval block,,,,None material - the one genuinely end-to-end workflow,,,70-76,
HR-009,module,HR & Payroll,Compensation,Salary structures/components,Part 14,FOUNDATION_ONLY,BLOCKED,,,hr_salary_components/structures/structure_lines,,,No create function anywhere - formula calculation-type infra entirely unused,,SERVICE,70-76,
HR-010,module,HR & Payroll,Compensation,Employee compensation assignment,Part 14,MISSING,BLOCKED,,joined via LEFT JOIN LATERAL in calculatePayrollRun,hr_employee_compensation,,,ZERO create path exists anywhere - gross resolves to null/0 for every employee every run,,SERVICE,70-76,P0 - the entire payroll engine's input is unobtainable
HR-011,module,HR & Payroll,Payroll,Payroll run lifecycle (state machine),Part 14,PARTIAL,LIMITED,,createPayrollRun/transitionPayrollRun real+dual maker-checker,,,,State machine solid but produces an unusable number (see HR-012),,SERVICE,70-76,
HR-012,module,HR & Payroll,Payroll,Payroll calculation engine,Part 14,FOUNDATION_ONLY,NOT_READY,,calculatePayrollRun,,,,"P0 correctness: deductions/employer hardcoded to 0; no salary-component application; no overtime pay; gross itself unobtainable (HR-010)",,SERVICE,70-76,"P0 - every payslip line is a single hardcoded BASIC_GROSS row"
HR-013,module,HR & Payroll,Payslips,Payslip generation,Part 14,PARTIAL,NOT_READY,,generated automatically inside calculatePayrollRun,hr_payslips/payslip_lines,,,Content limited to one gross-earnings line - no deduction/statutory/employer lines ever produced,,SERVICE,70-76,
HR-014,module,HR & Payroll,Statutory,"PF/ESI/PT/TDS calculation",Part 14,MISSING,BLOCKED,,,"hr_statutory_components (well-designed rates/slabs table)",,,"No rate lookup, no slab logic, no rounding, no ceiling application anywhere",,SERVICE,70-76,P0 - line-item placeholder table with zero calculation logic
HR-015,module,HR & Payroll,ESS/MSS,Employee self-service,Part 14,MISSING,BLOCKED,,,,,,No my-profile/my-payslip/my-leave-balance scoped view or permission,,UI,70-76,
HR-016,module,HR & Payroll,ESS/MSS,Manager self-service,Part 14,PARTIAL,LIMITED,,hr_payroll.leave.approve gate only,,,,No team-scoped view; no delegated/hierarchical approval routing,,AUTHORIZATION,70-76,
HR-017,module,HR & Payroll,Talent,"Performance, goals, appraisal, learning, talent",Part 14,MISSING,BLOCKED,,,,,,"No schema, no code, anywhere",,PRODUCT_DECISION,70-76,
HR-018,module,HR & Payroll,Separation,Separation/offboarding,Part 14,MISSING,BLOCKED,,,separation_date/status=separated columns exist; dashboard counts them,,,No function ever sets separation_date or transitions status; no access-revocation linkage,,SERVICE,70-76,Dashboard KPI counts a field nothing can write
HR-019,module,HR & Payroll,Expenses,Employee expenses,Part 14,FOUNDATION_ONLY,BLOCKED,,,hr_employee_expenses (full-featured table),expense.manage/approve,,No create/approve function anywhere - 2 permissions unreachable,,SERVICE,70-76,
HR-020,module,HR & Payroll,Sensitive fields,Sensitive-field masking,Part 14,COMPLETE,READY,,canViewSensitiveEmployeeFields real+applied,,hr_payroll.sensitive.view,field-visibility.test.mjs,None - real tested fix,,,70-76,"Prior Prompt-1 dead-permission finding is STALE; fixed in Prompt 3 security hardening"
HR-021,module,HR & Payroll,Cross-module,Payroll to Accounting GL posting,Part 14,MISSING,BLOCKED,,transitionPayrollRun post action only stores opaque accountingBatchId,,,,Confirmed still missing - no real journal entry ever created,,INTEGRATION,77-79,
ACC-META,scope-note,Accounting,META,"Accounting reconciled separately - NOT part of the 1039 denominator",Part 22/36,COMPLETE,READY,,,,,,,,,n/a,"See ERP_ACCOUNTING_MATRIX_011.csv for the full 43-row Accounting reconciliation. Accounting rows are intentionally excluded from this file's module set."
SHARED-001,shared,SaaS Platform,Tenant lifecycle,"Tenant/org provisioning and onboarding",Part 21A,COMPLETE,READY,onboarding-form.tsx,,organizations/organization_memberships,,,,,,n/a,"Onboarding transaction itself is currently BROKEN by CRM-017's missing permission - see Section 23"
SHARED-002,shared,SaaS Platform,Context,Company/branch context,Part 21A,COMPLETE,READY,api/context,,membership_company_access,,,,,,n/a,
SHARED-003,shared,SaaS Platform,Billing,Subscriptions/plans (Razorpay),Part 21A,COMPLETE,READY,,billing.ts real,,,,,,,n/a,
SHARED-004,shared,SaaS Platform,Billing,Trial/upgrade/downgrade,Part 21A,COMPLETE,READY,,billing.ts real trial/grace columns,,,,,,,n/a,
SHARED-005,shared,SaaS Platform,Entitlement,Module entitlement (4-stage pipeline),Part 21A,COMPLETE,READY,,module-access.ts documented pipeline,billing_entitlement_overrides,,,,,,n/a,
SHARED-006,shared,SaaS Platform,Usage,Usage tracking,Part 21A,COMPLETE,READY,,incrementBillingUsage,billing_usage_monthly,,,,,,n/a,
SHARED-007,shared,SaaS Platform,Admin,User administration,Part 21A,COMPLETE,READY,user-administration.tsx,,,,,,,,n/a,
SHARED-008,shared,SaaS Platform,Numbering,Numbering series,Part 21A,COMPLETE,READY,/settings/numbering-series,,,,,,,,n/a,Org-scoped only, not company-scoped
SHARED-009,shared,SaaS Platform,Org settings,Org settings (non-branding),Part 21A,COMPLETE,READY,/settings/company,,,,,,,,n/a,
SHARED-010,shared,SaaS Platform,Branding,Org branding/white-label,Part 21A,MISSING,NOT_READY,,,,,,No logo_url/brand_color/custom-domain fields anywhere,,DATABASE,80-82,
SHARED-011,shared,SaaS Platform,Health,Platform health/status endpoints,Part 21A,COMPLETE,READY,/api/health,,,,,,,,n/a,
SHARED-012,shared,SaaS Platform,Roles,Role/permission catalogue administration,Part 21A,COMPLETE,READY,/settings/roles,,,,,,,,n/a,
SHARED-013,shared,SaaS Platform,Password,Password policy,Part 21A,COMPLETE,READY,,password-policy.ts,,,,,,,n/a,
SHARED-014,shared,SaaS Platform,Infra,Worker/deployment infrastructure,Part 21A,FOUNDATION_ONLY,NOT_READY,,,Dockerfile.worker/workers.yaml CronJob,,,References scripts/process-crm-jobs.mjs which does not exist on disk,,SCHEDULER,13-16,
SHARED-015,shared,Security & Governance,Auth,Authentication (password-based),Part 21B,COMPLETE,READY,,auth.ts,,,,,,,n/a,
SHARED-016,shared,Security & Governance,Sessions,Session management,Part 21B,COMPLETE,READY,/security,,sessions,,,,,,n/a,
SHARED-017,shared,Security & Governance,MFA,MFA enrollment,Part 21B,FOUNDATION_ONLY,NOT_READY,/security,,mfa policy flag+enrolment timestamp columns,,,No authenticator-enrolment or verification flow exists yet,,AUTHORIZATION,80-82,Confirmed unchanged since Prompt 1
SHARED-018,shared,Security & Governance,RBAC,RBAC/roles/permissions,Part 21B,COMPLETE,READY,,access-control.ts/authorization.ts,,,,,,,n/a,
SHARED-019,shared,Security & Governance,RBAC,Time-bound/scoped role assignments,Part 21B,COMPLETE,READY,,,,,,,,,n/a,
SHARED-020,shared,Security & Governance,Record access,Record-level access (CRM ownership),Part 21B,PARTIAL,LIMITED,,recordScope()/canViewAllCrmRecords(),,crm.records.view_all,crm-record-scope.test.mjs,"Only CRM has real ownership scoping; every other module is company/branch-scope only. Also see CRM-017 P0 bug",,AUTHORIZATION,12,
SHARED-021,shared,Security & Governance,Field access,Field-level access (3 sensitive permissions),Part 21B,COMPLETE,LIMITED,,field-visibility.js,,hr_payroll.sensitive.view/support.sensitive.view/procurement.suppliers.sensitive,field-visibility.test.mjs,No assignable HR/Support role yet exercises the restricted branch in real traffic,,AUTHORIZATION,n/a,"Fixed in Prompt 3 - reverses the stale Prompt-1 finding"
SHARED-022,shared,Security & Governance,Isolation,Company/branch data isolation (RLS),Part 21B,COMPLETE,READY,,,45 tenant migrations FORCE ROW LEVEL SECURITY,,tests/security/tenant-isolation-rls.test.mjs,,,,n/a,
SHARED-023,shared,Security & Governance,Approvals,Maker-checker/SoD,Part 21B,COMPLETE,READY,/approvals,packages/workflows assertSeparationOfDuties,,,,,,,n/a,
SHARED-024,shared,Security & Governance,Audit,Audit trail immutability,Part 21B,COMPLETE,READY,/audit-logs,,DB-trigger prevent_audit_event_mutation,,,,,,n/a,
SHARED-025,shared,Security & Governance,Console,Security console/workspace,Part 21B,COMPLETE,READY,/security,,,,,,,,n/a,
SHARED-026,shared,Security & Governance,Rate limit,Rate limiting,Part 21B,COMPLETE,READY,,enforceRateLimit(),,,,General business CRUD still mostly unlimited (8/279 route files),,AUTHORIZATION,n/a,
SHARED-027,shared,Security & Governance,Escalation,Grant-ceiling/privilege-escalation guard,Part 21B,COMPLETE,READY,,permissionsOutsideGrantCeiling(),,,,,,,n/a,
SHARED-028,shared,Security & Governance,Compliance,Compliance/data-governance workspace,Part 21B,COMPLETE,READY,/compliance,,,,,,,,n/a,
SHARED-029,shared,Security & Governance,Delegation,Approval delegation,Part 21B,MISSING,NOT_READY,,,,,,No delegat* hits anywhere in apps/web/src,,WORKFLOW,80-82,Newly confirmed gap
SHARED-030,shared,Workflow & Automation,Approvals,Approval workflow engine,Part 21C,COMPLETE,READY,/approvals,packages/workflows,,,,,,,n/a,
SHARED-031,shared,Workflow & Automation,Automation,CRM automation rule engine,Part 21C,PARTIAL,LIMITED,/automation,,,,,Only 3 of 7 trigger types fire,,WORKFLOW,13-16,
SHARED-032,shared,Workflow & Automation,Scheduler,Scheduler,Part 21C,MISSING,NOT_READY,,,,,,No scheduler deployed anywhere - confirmed via /automation page copy itself,,SCHEDULER,13-16,
SHARED-033,shared,Workflow & Automation,Cross-module,Cross-module automation,Part 21C,MISSING,NOT_READY,,,,,,"Explicit page copy: 'no automation for any other module yet'",,WORKFLOW,99,
SHARED-034,shared,Workflow & Automation,Execution,Execution history/logging,Part 21C,COMPLETE,READY,/automation,,,,,Only covers the one CRM engine that exists,,,n/a,
SHARED-035,shared,Workflow & Automation,Dead schema,workflow_definitions schema,Part 21C,MISSING,NOT_READY,,,workflow_definitions,,,"Confirmed still dead - never read or written by any application code",,DATABASE,91,
SHARED-036,shared,Reporting & Analytics,Catalogue,Unified report catalogue,Part 21D,COMPLETE,READY,/reports,,,,,Only as broad as underlying 4/12 module reports,,,n/a,
SHARED-037,shared,Reporting & Analytics,Coverage,Per-module reports (4 of 12 modules),Part 21D,PARTIAL,LIMITED,,reports/catalogue.ts,,xxxReportsView permissions defined for all 12,,8 modules have permission defined but zero report implementation,,REPORTING,98,
SHARED-038,shared,Reporting & Analytics,Builder,Report builder,Part 21D,MISSING,NOT_READY,,,,,,Confirmed absent,,REPORTING,20,
SHARED-039,shared,Reporting & Analytics,Scheduling,Scheduled/emailed reports,Part 21D,MISSING,NOT_READY,,,,,,Confirmed absent,,SCHEDULER,20,
SHARED-040,shared,Reporting & Analytics,BI,Cross-module analytics/BI,Part 21D,MISSING,NOT_READY,,,,,,Confirmed absent,,REPORTING,97,
SHARED-041,shared,Reporting & Analytics,Charts,Charts/visualization,Part 21D,MISSING,NOT_READY,,,,,,No chart library in package.json anywhere,,REPORTING,20,
SHARED-042,shared,Reporting & Analytics,KPI,KPI framework,Part 21D,MISSING,NOT_READY,,,,,,Every dashboard hardcodes its own metric queries,,REPORTING,97,
SHARED-043,shared,Integration,Payments,Payments (Razorpay),Part 21E,COMPLETE,READY,/billing,,,,,,,,n/a,
SHARED-044,shared,Integration,Webhooks,Webhook subscription management,Part 21E,COMPLETE,READY,/integrations,,crm_webhook_subscriptions,,,,,,n/a,
SHARED-045,shared,Integration,Webhooks,Webhook delivery worker,Part 21E,MISSING,NOT_READY,,,scripts/deliver-crm-outbox.mjs does not exist,,,Subscriptions can be created but nothing ever POSTs,,SCHEDULER,13-16,
SHARED-046,shared,Integration,OAuth,OAuth state/PKCE,Part 21E,PARTIAL,LIMITED,,createProviderOAuthState/consumeProviderOAuthState real,,,,Token exchange step missing,,INTEGRATION,21,
SHARED-047,shared,Integration,API keys,Tenant-issued API keys,Part 21E,MISSING,NOT_READY,,,,,,Confirmed absent,,DATABASE,21,
SHARED-048,shared,Integration,Email,System email transport,Part 21E,COMPLETE,READY,,isSystemEmailConfigured(),,,,,,,n/a,
SHARED-049,shared,Integration,SMS,SMS/WhatsApp,Part 21E,MISSING,NOT_READY,,,,,,Consent tracking exists; no provider wired,,EXTERNAL_PROVIDER,83,
SHARED-050,shared,Integration,Commerce,E-commerce/marketplace connectors,Part 21E,MISSING,NOT_READY,,,,,,Confirmed absent,,EXTERNAL_PROVIDER,100,
SHARED-051,shared,Integration,SSO,SSO,Part 21E,MISSING,NOT_READY,,,,,,Confirmed absent,,EXTERNAL_PROVIDER,83,
SHARED-052,shared,Integration,Telephony,Telephony/conversation intelligence,Part 21E,FOUNDATION_ONLY,NOT_READY,,,,,,"Real management surface, no crm:provider-jobs worker exists",,SCHEDULER,13-16,
SHARED-053,shared,Integration,Outbox,Outbox/event delivery infrastructure,Part 21E,FOUNDATION_ONLY,NOT_READY,,,crm_outbox_events written, zero consumers,,,Table and write path real, nothing reads/claims/delivers,,SCHEDULER,13-16,
SHARED-054,shared,UX,Shell,App shell/sidebar/top bar,Part 21F,COMPLETE,READY,app-shell.tsx,,,,,,,,n/a,
SHARED-055,shared,UX,Palette,Command palette,Part 21F,COMPLETE,READY,command-palette.tsx,,,,,,,,n/a,
SHARED-056,shared,UX,Quick Create,Quick Create,Part 21F,COMPLETE,READY,quick-create-button.tsx,,,,,,,,n/a,
SHARED-057,shared,UX,Search,Global search,Part 21F,COMPLETE,READY,/search,,,,,,,,n/a,
SHARED-058,shared,UX,Notifications,Notifications,Part 21F,COMPLETE,READY,/notifications,,,,,"Event-driven only, no scheduled digests",,SCHEDULER,96,
SHARED-059,shared,UX,Favourites,Favourites,Part 21F,COMPLETE,READY,/favourites,,,,,,,,n/a,
SHARED-060,shared,UX,Recent,Recent records,Part 21F,COMPLETE,READY,/recent,,,,,,,,n/a,
SHARED-061,shared,UX,My Work,"My Work (tasks/follow-ups/exceptions)",Part 21F,COMPLETE,READY,/my-work,,,,,Stock exceptions explicitly documented as not included,,,n/a,
SHARED-062,shared,UX,Responsive,Responsive/mobile-web layout,Part 21F,PARTIAL,LIMITED,,,,,,No dedicated mobile-web audit found,,MOBILE_WEB,84,
SHARED-063,shared,UX,Accessibility,Accessibility posture,Part 21F,PARTIAL,LIMITED,,eslint-plugin-jsx-a11y active,,,,"Lint-level guardrail only, no verified contrast/a11y audit",,MOBILE_WEB,84,
SHARED-064,shared,UX,States,Empty/loading/error states,Part 21F,COMPLETE,READY,,,,,,,,,n/a,
SHARED-065,shared,UX,Breadcrumbs,Breadcrumbs,Part 21F,COMPLETE,READY,breadcrumb-labels.ts,,,,,,,,n/a,
SHARED-066,shared,UX,Theme,Dark mode,Part 21F,MISSING,NOT_READY,,,,,,"Still light-only, confirmed unchanged",,MOBILE_WEB,84,
SHARED-067,shared,Data Governance,Master data,Master data discovery/catalogue,Part 21G,COMPLETE,READY,/master-data,,,,,,,,n/a,
