feature_id,historical_index,scope,module,category,feature_number,feature_name,source_section,status,uat_status,priority,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,cross_module_evidence,primary_gap,secondary_gap,blocker_type,recommended_prompt,notes
PROC-019,169,module,Procurement,Purchase requisitions,19,Delegated approvals,Purchase requisitions,MISSING,NOT_READY,P2,,No delegate/proxy-approver concept anywhere in procurement/index.js,database/tenant/migrations/012_procurement_module.sql,,,,"No 'delegatedTo', proxy-approver, or out-of-office routing concept exists in the code.",,MISSING_SERVICE,30,Grepped for 'delegat' in procurement/index.js — zero matches.
PROC-020,170,module,Procurement,Purchase requisitions,20,Requisition-to-RFQ conversion,Purchase requisitions,MISSING,NOT_READY,P2,,services/api/src/procurement/index.js DOCUMENT_REFERENCE_COLUMNS (sourcing-events is absent from this map),database/tenant/migrations/012_procurement_module.sql,procurement.sourcing.manage,,,sourcing-events has no requisitionId reference column/validation; a requisition cannot be formally converted into an RFQ.,,MISSING_SERVICE,31,"DOCUMENT_REFERENCE_COLUMNS configures agreements, purchase-orders, receipts, service-entries, returns and match-exceptions, but not sourcing-events."
PROC-021,171,module,Procurement,Purchase requisitions,21,Requisition-to-PO conversion,Purchase requisitions,PARTIAL,LIMITED,P1,,PSVC DOCUMENT_REFERENCE_COLUMNS['purchase-orders'].requisitionId + loadReference() validates the requisition exists/company-scoped,database/tenant/migrations/012_procurement_module.sql,procurement.po.create,,,The requisitionId reference field is validated server-side but is not exposed as a field in the purchase-order UI form (DEFINITIONS.purchase-orders.fields has no requisitionId).,,MISSING_UI,31,"Backend reference integrity is real; a user cannot actually link a PO to its source requisition through the UI, only via direct API call."
PROC-022,172,module,Procurement,Purchase requisitions,22,Requisition tracking,Purchase requisitions,COMPLETE,READY,P1,apps/web/src/components/procurement/procurement-workspace.tsx (requisitions list/detail),services/api/src/procurement/index.js listProcurementRecords/getProcurementRecord,database/tenant/migrations/012_procurement_module.sql,procurement.view,,,,,NONE,,Full status-lifecycle list/detail/search with company scoping.
PROC-023,173,module,Procurement,Purchase requisitions,23,Emergency purchases,Purchase requisitions,MISSING,NOT_READY,P2,,No urgency/priority/fast-track field or bypass workflow found in normalizeDocument('requisitions'),database/tenant/migrations/012_procurement_module.sql,,,,No emergency/urgent flag or expedited-approval bypass exists.,,MISSING_SERVICE,31,Grepped for 'emergency'/'urgent'/'priority' in procurement/index.js — zero matches.
PROC-024,174,module,Procurement,Sourcing and RFQ,24,Request for quotation,Sourcing and RFQ,COMPLETE,READY,P1,"apps/web/src/components/procurement/procurement-workspace.tsx (sourcing-events, eventType=rfq)",services/api/src/procurement/index.js normalizeDocument('sourcing-events')/TRANSITIONS,database/tenant/migrations/012_procurement_module.sql procurement_sourcing_events,procurement.sourcing.manage,,,,,NONE,,Full draft->submitted->approved->active->closed lifecycle with real UI create/detail flow.
PROC-025,175,module,Procurement,Sourcing and RFQ,25,Multi-supplier RFQs,Sourcing and RFQ,PARTIAL,LIMITED,P1,,PSVC CHILDREN['sourcing-events'] -> procurement_sourcing_invitations,database/tenant/migrations/012_procurement_module.sql procurement_sourcing_invitations,procurement.sourcing.manage,,,Invitations are a hidden array field (cleanRecord filters arrays) with no dedicated UI to invite multiple named suppliers.,,MISSING_UI,31,"Multiple invitations can be created via the generic child API, but there is no UI workflow to manage a multi-supplier invitation list."
PROC-026,176,module,Procurement,Sourcing and RFQ,26,Supplier bid submission,Sourcing and RFQ,FOUNDATION_ONLY,NOT_READY,P2,,PSVC CHILDREN['sourcing-events'] -> procurement_sourcing_bids,database/tenant/migrations/012_procurement_module.sql procurement_sourcing_bids,procurement.sourcing.manage,,Depends on PROC-010 (supplier portal) being absent,No supplier-facing submission surface exists (ties to the missing supplier portal); bids can only be entered internally via raw API.,No UI at all to enter a bid.,MISSING_INTEGRATION,31,"'Submission' implies an external-supplier-facing capability, which does not exist; only an internal proxy-entry table/API is present."
PROC-027,177,module,Procurement,Sourcing and RFQ,27,Bid comparison,Sourcing and RFQ,FOUNDATION_ONLY,NOT_READY,P2,,PSVC CHILDREN['sourcing-events'] -> procurement_sourcing_evaluations,database/tenant/migrations/012_procurement_module.sql procurement_sourcing_evaluations,procurement.sourcing.evaluate,,,No UI to view bids side-by-side or compare them.,,MISSING_UI,31,Table and generic API exist; no comparison view exists anywhere in the app.
PROC-028,178,module,Procurement,Sourcing and RFQ,28,Technical and commercial evaluation,Sourcing and RFQ,FOUNDATION_ONLY,NOT_READY,P2,,Generic procurement_sourcing_evaluations child record has no technical/commercial split fields,database/tenant/migrations/012_procurement_module.sql,procurement.sourcing.evaluate,,,No structured technical-vs-commercial evaluation fields or UI.,,MISSING_UI,31,Evaluations are stored as an unstructured jsonb blob with no dedicated schema or UI.
PROC-029,179,module,Procurement,Sourcing and RFQ,29,Weighted supplier evaluation,Sourcing and RFQ,PARTIAL,LIMITED,P2,,"PSVC evaluateSupplierScore() (generic weighted allocation, reused from scorecards)",database/tenant/migrations/012_procurement_module.sql,procurement.sourcing.evaluate,,,evaluateSupplierScore() is real and correct but is not evidently wired into a sourcing-evaluation UI/workflow specifically.,,MISSING_UI,31,"The weighted-scoring math exists and is correct, but there is no evidence it is invoked from the sourcing-evaluation path with a UI."
PROC-030,180,module,Procurement,Sourcing and RFQ,30,Negotiation records,Sourcing and RFQ,MISSING,NOT_READY,P3,,No negotiation-round/counter-offer concept anywhere in procurement/index.js,database/tenant/migrations/012_procurement_module.sql,,,,No negotiation-round entity or workflow exists.,,PRODUCT_DECISION,31,Grepped procurement/index.js for negotiation concepts — none found.
PROC-031,181,module,Procurement,Sourcing and RFQ,31,Supplier selection approval,Sourcing and RFQ,PARTIAL,LIMITED,P1,apps/web/src/components/procurement/procurement-workspace.tsx (window.prompt('Selected bid ID') / window.prompt('Supplier ID')),"services/api/src/procurement/index.js awardSourcingEvent() (permission-gated, validates bid/supplier/award-uniqueness, idempotent)",database/tenant/migrations/014_procurement_integrity_hardening.sql procurement_sourcing_awards,procurement.sourcing.award,,,"The award backend is sophisticated and correct, but the only UI trigger is a raw browser prompt requiring the user to hand-type a bid UUID and supplier UUID they cannot see anywhere on screen.",,MISSING_UI,31,Functionally works end-to-end but is not a usable business-user UI; classified as PARTIAL rather than COMPLETE because the UI is not genuinely usable.
PROC-032,182,module,Procurement,Sourcing and RFQ,32,RFQ-to-purchase-order conversion,Sourcing and RFQ,PARTIAL,LIMITED,P1,(same window.prompt flow as PROC-031),services/api/src/procurement/index.js awardSourcingEvent() creates a purchase-order via createProcurementRecord() with sourceEventId/selectedBidId references,database/tenant/migrations/012_procurement_module.sql procurement_purchase_orders.source_event_id/selected_bid_id,procurement.sourcing.award,,,Same window.prompt UI limitation as PROC-031.,,MISSING_UI,31,Backend conversion (award -> PO with idempotency key) is real and traceable; UI usability is the blocker.
PROC-033,183,module,Procurement,Sourcing and RFQ,33,Sourcing event audit trail,Sourcing and RFQ,COMPLETE,READY,P1,apps/web/src/app/(app)/procurement/governance/page.tsx,services/api/src/procurement/index.js event()/outbox() calls on every sourcing transition + services/api/src/procurement/governance.js,"database/tenant/migrations/012_procurement_module.sql procurement_events, procurement_outbox",procurement.audit.view,,,,,NONE,,Every sourcing-event lifecycle action (submit/approve/activate/close/award/cancel) writes an audit event row and an outbox delivery record; visible via the governance page.
PROC-034,184,module,Procurement,Purchase orders,34,Standard purchase orders,Purchase orders,COMPLETE,READY,P1,apps/web/src/components/procurement/procurement-workspace.tsx (orders/),services/api/src/procurement/index.js normalizeDocument('purchase-orders')/TRANSITIONS,database/tenant/migrations/012_procurement_module.sql procurement_purchase_orders,procurement.po.create/.manage/.approve/.dispatch,,,,,NONE,,"Full draft->submitted->approved->dispatched->acknowledged->partially_received->received->closed lifecycle, real UI."
PROC-035,185,module,Procurement,Purchase orders,35,Service purchase orders,Purchase orders,PARTIAL,LIMITED,P2,,"PSVC RESOURCE_CONFIG['service-entries'] real document lifecycle, but no explicit PO 'type' field distinguishing goods vs service",database/tenant/migrations/012_procurement_module.sql procurement_service_entries,procurement.receipts.manage,,,"No poType/subtype flag on purchase-orders; service delivery is only handled via the separate service-entries document, not a PO variant.",service-entries itself has no dedicated UI route (see PROC-048).,MISSING_UI,31,"A service purchase can be raised as a normal PO and receipted via service-entries, but there is no explicit 'service PO' distinction or UI."
PROC-036,186,module,Procurement,Purchase orders,36,Blanket purchase orders,Purchase orders,PARTIAL,LIMITED,P2,,"PSVC RESOURCE_CONFIG.agreements (generic document, no blanket-specific fields)",database/tenant/migrations/012_procurement_module.sql procurement_agreements,procurement.contracts.manage,,,Agreements are a single generic type; there is no distinct 'blanket PO' subtype or consumption-against-blanket-quantity tracking.,,ARCHITECTURE_DECISION,31,"Same underlying agreements mechanism serves blanket, contract and scheduling needs generically, without differentiation."
PROC-037,187,module,Procurement,Purchase orders,37,Contract purchase orders,Purchase orders,PARTIAL,LIMITED,P2,(same agreements UI as PROC-036),(same agreements mechanism),database/tenant/migrations/012_procurement_module.sql,procurement.contracts.manage,,,No explicit 'contract PO' subtype distinct from a generic agreement.,,ARCHITECTURE_DECISION,31,Same generic-agreements limitation as blanket POs.
PROC-038,188,module,Procurement,Purchase orders,38,Scheduled purchase orders,Purchase orders,PARTIAL,LIMITED,P2,,PSVC CHILDREN['purchase-orders'] -> procurement_purchase_order_schedules,database/tenant/migrations/012_procurement_module.sql procurement_purchase_order_schedules,procurement.po.manage,,,No UI field/tab to create or view delivery schedules; DEFINITIONS.purchase-orders has no schedules field.,,MISSING_UI,32,Table and generic child-create API exist; not reachable through any page.
PROC-039,189,module,Procurement,Purchase orders,39,Drop-ship purchase orders,Purchase orders,MISSING,NOT_READY,P3,,No drop-ship / ship-to-customer-directly concept in normalizeDocument('purchase-orders'),database/tenant/migrations/012_procurement_module.sql,,,,Not modeled anywhere in the schema or code.,,PRODUCT_DECISION,32,No shipToCustomer/dropShip field or logic found.
PROC-040,190,module,Procurement,Purchase orders,40,Purchase-order amendments,Purchase orders,COMPLETE,READY,P1,apps/web/src/components/procurement/procurement-workspace.tsx (ACTIONS.amend / approve-amendment / reject-amendment),services/api/src/procurement/index.js amendPurchaseOrder()/approvePurchaseOrderAmendment()/rejectPurchaseOrderAmendment(),database/tenant/migrations/012_procurement_module.sql,procurement.po.amend/.approve,,,,,NONE,,"Full versioned amendment workflow with pending-amendment lineage, approval/rejection, and automatic rollback of line/reference data on rejection."
PROC-041,191,module,Procurement,Purchase orders,41,PO approval workflow,Purchase orders,COMPLETE,READY,P1,apps/web/src/components/procurement/procurement-workspace.tsx (submit/approve/reject ACTIONS),services/api/src/procurement/index.js TRANSITIONS['purchase-orders'],database/tenant/migrations/012_procurement_module.sql,procurement.po.approve,,,,,NONE,,Real approve/reject with mandatory reason on reject and self-approval blocked.
PROC-042,192,module,Procurement,Purchase orders,42,Advance-payment terms,Purchase orders,MISSING,NOT_READY,P2,,No advancePayment field/logic found in normalizeDocument('purchase-orders'),database/tenant/migrations/012_procurement_module.sql,,,,No advance-payment terms concept exists.,,MISSING_SERVICE,32,Grepped procurement/index.js for 'advancePayment'/'advance_payment' — zero matches.
PROC-043,193,module,Procurement,Purchase orders,43,Landed-cost estimates,Purchase orders,MISSING,NOT_READY,P2,,No landed-cost field/logic anywhere in procurement/index.js,database/tenant/migrations/012_procurement_module.sql,,,,No landed-cost estimation exists on POs.,,MISSING_SERVICE,32,Grepped for 'landedCost'/'landed cost' — zero matches; same gap confirmed on the Stock side (STOCK-067).
PROC-044,194,module,Procurement,Purchase orders,44,Delivery schedule management,Purchase orders,PARTIAL,LIMITED,P2,(same as PROC-038),(same purchase_order_schedules child mechanism),database/tenant/migrations/012_procurement_module.sql,procurement.po.manage,,,No UI to manage delivery schedules.,,MISSING_UI,32,"Same underlying gap as scheduled POs (PROC-038): real table/API, no UI."
PROC-045,195,module,Procurement,Purchase orders,45,PO acknowledgement,Purchase orders,COMPLETE,READY,P1,apps/web/src/components/procurement/procurement-workspace.tsx (dispatched -> ACTIONS.acknowledge),services/api/src/procurement/index.js TRANSITIONS['purchase-orders'].acknowledge,database/tenant/migrations/012_procurement_module.sql,procurement.po.manage,,,,,NONE,,Real dispatched->acknowledged transition wired to a UI action button.
PROC-046,196,module,Procurement,Purchase orders,46,Supplier communication history,Purchase orders,MISSING,NOT_READY,P3,,"procurement_events logs internal lifecycle events only, not supplier-facing communication (emails/calls)","database/tenant/migrations/012_procurement_module.sql procurement_events (system audit log, not a communication log)",procurement.audit.view,,,"No supplier communication/correspondence log exists; procurement_events is a system audit trail, not a communication history.",,MISSING_DB,32,No dedicated communication-log table or UI found.
PROC-047,197,module,Procurement,Receiving and invoicing,47,Goods receipt notes,Receiving and invoicing,PARTIAL,LIMITED,P0,apps/web/src/components/procurement/procurement-workspace.tsx (receipts/),"services/api/src/procurement/index.js normalizeDocument('receipts')/applyReceiptToOrder() (over-receipt hard-blocked, line-by-line row-locked)","database/tenant/migrations/012_procurement_module.sql procurement_receipts, procurement_receipt_lines",procurement.receipts.manage/.approve,,Confirmed: zero references to stock_movements/stock_balances anywhere in procurement/index.js,"Approving a GRN never posts to Stock's stock_movements/stock_balances — physical on-hand quantity is not updated by procurement receiving, only the PO's own received_quantity counters change.",,CROSS_MODULE_GAP,32,"The GRN document itself (creation, approval, PO-quantity tracking, reversal) is fully real and correct, but the implied downstream effect of a goods receipt (increasing physical inventory) never happens, which is a data-integrity-relevant gap distinct from the Manufacturing/POS fix in Prompt 12."
PROC-048,198,module,Procurement,Receiving and invoicing,48,Service receipt confirmation,Receiving and invoicing,PARTIAL,LIMITED,P2,,PSVC RESOURCE_CONFIG['service-entries'] + TRANSITIONS['service-entries'] (submit/approve/reject/reverse),database/tenant/migrations/012_procurement_module.sql procurement_service_entries,procurement.receipts.manage/.approve,,,"No dedicated UI route for service-entries; apps/web/src/app/(app)/procurement has no service-entries folder, only reachable via the generic resource API.",,MISSING_UI,32,Backend lifecycle is complete and real; there is no page for a user to actually confirm a service receipt.
PROC-049,199,module,Procurement,Receiving and invoicing,49,Partial receipts,Receiving and invoicing,COMPLETE,READY,P1,"apps/web/src/components/procurement/procurement-workspace.tsx (receipts, accepted/rejected quantity fields)","services/api/src/procurement/index.js applyReceiptToOrder() (tracks receivedQuantity per line, status partially_received)",database/tenant/migrations/012_procurement_module.sql,procurement.receipts.manage,,,,,NONE,,Cumulative per-line received-quantity tracking with partially_received status is real and row-locked against concurrent receipts.
PROC-050,200,module,Procurement,Receiving and invoicing,50,Over-receipt and under-receipt tolerances,Receiving and invoicing,PARTIAL,LIMITED,P2,apps/web/src/components/procurement/procurement-workspace.tsx (receipts),"services/api/src/procurement/index.js applyReceiptToOrder() (over-receipt is a hard block, not a configurable tolerance)",database/tenant/migrations/012_procurement_module.sql,procurement.receipts.manage,,,No configurable over/under-receipt tolerance percentage exists (unlike the matching module's tolerancePercent policy); over-receipt is always rejected outright.,,ARCHITECTURE_DECISION,32,Under-receipt (partial) is fully supported; a configurable tolerance band around ordered quantity is not implemented.
PROC-051,201,module,Procurement,Receiving and invoicing,51,Rejected and quarantined receipts,Receiving and invoicing,PARTIAL,LIMITED,P2,"apps/web/src/components/procurement/procurement-workspace.tsx (receipts, rejectedQuantity field)",services/api/src/procurement/index.js normalizeLine() rejectedQuantity,database/tenant/migrations/012_procurement_module.sql,procurement.receipts.manage,,,"Rejected quantity is tracked on the receipt line, but there is no quarantine-location workflow linking a rejection to a physical quarantine bin (also see STOCK-018).",,CROSS_MODULE_GAP,32,Rejection quantity capture is real; physical quarantine placement is not modeled or enforced.
PROC-052,202,module,Procurement,Receiving and invoicing,52,Lot and serial capture,Receiving and invoicing,MISSING,NOT_READY,P1,,services/api/src/procurement/index.js normalizeLine() (no batchId/serialId fields captured on receipt lines),database/tenant/migrations/012_procurement_module.sql,procurement.receipts.manage,,"Depends on Stock's stock_batches/stock_serials, which are also never populated (STOCK-005/006)",Receipt lines have no batch/serial capture fields at all.,,MISSING_SERVICE,32,normalizeLine() only handles id/itemId/uomId/warehouseId/quantity variants — no batchId or serialId field is read or stored.
PROC-053,203,module,Procurement,Receiving and invoicing,53,Quality inspection integration,Receiving and invoicing,MISSING,NOT_READY,P1,,"services/api/src/procurement/index.js line 2117: 'if (matchMode===""four-way"" && !orderLine.inspectionAccepted)' — inspectionAccepted is checked but never assigned anywhere in the codebase",database/tenant/migrations/012_procurement_module.sql,procurement.inspection.manage,,,"inspectionAccepted is dead logic: it is read during four-way matching but no code path ever sets it to true, so four-way matching will always flag an inspection exception.",,MISSING_SERVICE,32,Confirmed by grep: zero assignments of inspectionAccepted anywhere in services/api/src; the permission procurement.inspection.manage exists but nothing in the code checks or uses it.
PROC-054,204,module,Procurement,Receiving and invoicing,54,Purchase returns,Receiving and invoicing,PARTIAL,LIMITED,P1,,services/api/src/procurement/index.js RESOURCE_CONFIG.returns + TRANSITIONS.returns (submit/approve/dispatch/close/reject),"database/tenant/migrations/012_procurement_module.sql procurement_returns, procurement_return_lines",procurement.returns.manage,,,No dedicated UI route for returns; not present in apps/web/src/app/(app)/procurement or in DEFINITIONS.,,MISSING_UI,32,"Backend RTV lifecycle is complete and real (validated against the source receipt); only reachable via the generic resource API, not a real page."
PROC-055,205,module,Procurement,Receiving and invoicing,55,Supplier invoice recording,Receiving and invoicing,COMPLETE,READY,P0,apps/web/src/app/(app)/procurement/matching/page.tsx,services/api/src/procurement/index.js runProcurementMatch() writes to procurement_invoice_matches,database/tenant/migrations/014_procurement_integrity_hardening.sql procurement_invoice_matches,procurement.matching.manage,,,,,NONE,,Real invoice-header ledger with duplicate-number prevention scoped to organization/company/supplier.
PROC-056,206,module,Procurement,Receiving and invoicing,56,Two-way and three-way matching,Receiving and invoicing,COMPLETE,READY,P0,apps/web/src/app/(app)/procurement/matching/page.tsx,services/api/src/procurement/index.js runProcurementMatch() (two-way and three-way both implemented with quantity/price tolerance checks),database/tenant/migrations/014_procurement_integrity_hardening.sql,procurement.matching.manage/.override,,,,,NONE,,Two-way checks against ordered quantity; three-way checks against received quantity; both correctly gate on procurement_purchase_order_lines state.
PROC-057,207,module,Procurement,Receiving and invoicing,57,Price and quantity variance handling,Receiving and invoicing,COMPLETE,READY,P0,apps/web/src/app/(app)/procurement/matching/page.tsx,"services/api/src/procurement/index.js runProcurementMatch() issues array (price-or-value-variance, order/receipt-quantity-variance) with configurable tolerancePercent policy and required override reason",database/tenant/migrations/014_procurement_integrity_hardening.sql procurement_policies (matching_tolerance),procurement.matching.override,,,,,NONE,,"Tolerance policy is read from procurement_policies, can be overridden with permission+reason, and variance issues create a real match-exception record."
PROC-058,208,module,Procurement,Receiving and invoicing,58,Duplicate invoice detection,Receiving and invoicing,COMPLETE,READY,P0,apps/web/src/app/(app)/procurement/matching/page.tsx,services/api/src/procurement/index.js runProcurementMatch() duplicate check on organization+company+supplier+invoice_number,database/tenant/migrations/014_procurement_integrity_hardening.sql,procurement.matching.manage,,,,,NONE,,Row-locked duplicate check against procurement_invoice_matches before any match is recorded.
PROC-059,209,module,Procurement,Receiving and invoicing,59,Debit notes,Receiving and invoicing,PARTIAL,LIMITED,P2,,No procurement-side debit-note creation; Accounting's payables module supports a generic 'debit_note' bill type,"services/api/src/accounting/payables.js (billType IN ('bill','credit_note','debit_note','opening'))",procurement.returns.manage,,"services/api/src/accounting/payables.js supports debit_note bill type generically, but no code links a procurement return to an automatic debit-note creation",No automated flow turns a procurement return-to-vendor into an Accounting debit note; would require manually creating a debit_note-type vendor bill.,,CROSS_MODULE_GAP,32,"The underlying accounting capability (debit_note bill type) is real, but Procurement's returns workflow never calls it automatically."
PROC-060,210,module,Procurement,Receiving and invoicing,60,Accounts-payable integration,Receiving and invoicing,COMPLETE,READY,P0,,"services/api/src/accounting/payables.js importProcurementMatchAsVendorBill() (real, idempotent)",database/tenant/migrations/014_procurement_integrity_hardening.sql,procurement.matching.manage,,"services/api/src/accounting.d.ts exports importProcurementMatchAsVendorBill(client, context, matchingRecordId, input)",,"Manual trigger only (not automatic on match completion) — an intentional design choice, not a defect.",NONE,,Confirmed real and idempotent function that imports a completed matching record as an Accounting vendor bill; must be manually invoked rather than auto-firing on 'matched' status.
PROC-061,211,module,Procurement,Procurement analytics,61,Spend by supplier and category,Procurement analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/procurement/reports/page.tsx,services/api/src/procurement/index.js REPORT_SQL['spend-analysis'],database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,,,NONE,,Real SQL aggregation by supplier over non-draft/non-cancelled POs.
PROC-062,212,module,Procurement,Procurement analytics,62,Purchase-price variance,Procurement analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/procurement/reports/page.tsx,services/api/src/procurement/index.js REPORT_SQL['purchase-price-variance'],database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,,,NONE,,Real SQL sums varianceAmount from procurement_matching_records grouped by supplier.
PROC-063,213,module,Procurement,Procurement analytics,63,Supplier delivery performance,Procurement analytics,PARTIAL,LIMITED,P2,apps/web/src/app/(app)/procurement/reports/page.tsx,"services/api/src/procurement/index.js REPORT_SQL['overdue-orders'] (POs with expectedDeliveryDate < current_date, not received/closed/cancelled)",database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,No dedicated delivery-performance-score report exists; overdue-orders is the closest real proxy.,,ARCHITECTURE_DECISION,33,"overdue-orders is a genuinely real, working lateness report and serves as delivery-performance evidence, though not framed as a scorecard metric."
PROC-064,214,module,Procurement,Procurement analytics,64,Supplier quality performance,Procurement analytics,MISSING,NOT_READY,P2,,"No quality-performance report in REPORT_SQL; depends on quality inspection integration (PROC-053), which is dead logic",database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,No supplier quality metric exists in any report.,,CROSS_MODULE_GAP,33,"REPORT_SQL contains no quality-related report; inspectionAccepted is never set, so no quality data exists to report on."
PROC-065,215,module,Procurement,Procurement analytics,65,Procurement cycle time,Procurement analytics,COMPLETE,READY,P2,apps/web/src/app/(app)/procurement/reports/page.tsx,services/api/src/procurement/index.js REPORT_SQL['cycle-time'] (avg days between created_at/updated_at per entity_type from procurement_events),database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,,,NONE,,Real SQL computing average cycle time per document type from the procurement_events audit log.
PROC-066,216,module,Procurement,Procurement analytics,66,Contract utilisation,Procurement analytics,COMPLETE,READY,P2,apps/web/src/app/(app)/procurement/reports/page.tsx,services/api/src/procurement/index.js REPORT_SQL['agreement-consumption'],database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,,,NONE,,Real SQL summing PO value against agreementId presence.
PROC-067,217,module,Procurement,Procurement analytics,67,Maverick spending,Procurement analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/procurement/reports/page.tsx,services/api/src/procurement/index.js REPORT_SQL['maverick-spend'] (POs without an agreementId),database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,,,NONE,,"Real, working off-contract spend report."
PROC-068,218,module,Procurement,Procurement analytics,68,Open-PO ageing,Procurement analytics,PARTIAL,LIMITED,P2,apps/web/src/app/(app)/procurement/reports/page.tsx,services/api/src/procurement/index.js REPORT_SQL['open-commitments'] groups by status+value; no day-bucketed ageing calculation,database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,No true ageing-bucket (0-30/31-60/61-90 day) report exists; open-commitments and overdue-orders are the closest proxies.,,ARCHITECTURE_DECISION,33,"Open-order value and overdue-order counts are real, but a formal ageing-bucket report is not implemented."
PROC-069,219,module,Procurement,Procurement analytics,69,Savings tracking,Procurement analytics,FOUNDATION_ONLY,NOT_READY,P2,apps/web/src/app/(app)/procurement/reports/page.tsx,"services/api/src/procurement/index.js REPORT_SQL['savings'] reads record.data->>'savingsAmount' from procurement_sourcing_events, but no code path anywhere ever sets savingsAmount",database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,"savingsAmount is never computed or written by awardSourcingEvent() or anywhere else in the codebase, so the savings report always returns zero.",,MISSING_SERVICE,33,Confirmed by grep: the only reference to savingsAmount in the entire procurement module is the report's own SELECT clause; nothing writes it.
PROC-070,220,module,Procurement,Procurement analytics,70,Supplier dependency and concentration,Procurement analytics,PARTIAL,LIMITED,P2,apps/web/src/app/(app)/procurement/reports/page.tsx,services/api/src/procurement/index.js REPORT_SQL['spend-analysis'] grouped by supplier is the closest proxy,database/tenant/migrations/012_procurement_module.sql,procurement.reports.view,,,"No dedicated supplier-concentration/dependency metric (e.g. % spend with top N suppliers, single-source risk) is computed.",,ARCHITECTURE_DECISION,33,"Spend-by-supplier data exists and could be manually interpreted for concentration, but no purpose-built concentration report exists."
PROC-071,221,module,Procurement,Advanced,71,E-procurement catalogues,Advanced,FOUNDATION_ONLY,NOT_READY,P3,,"PSVC RESOURCE_CONFIG.catalogs/catalog-items (internal-only, generic)",database/tenant/migrations/012_procurement_module.sql,procurement.catalog.manage,,confirmed in Prompt 10: no e-commerce/marketplace/punch-out connectors exist anywhere,"No external supplier punch-out catalogue integration exists; only an internal, UI-less catalog table.",,MISSING_INTEGRATION,33,Internal catalog schema exists but is unused (no UI) and there is no e-procurement/punch-out connector of any kind.
PROC-072,222,module,Procurement,Advanced,72,Reverse auctions,Advanced,MISSING,NOT_READY,P3,,sourcing-events.eventType accepts 'auction' as a free-text label only; no multi-round bidding/countdown logic,database/tenant/migrations/012_procurement_module.sql,procurement.sourcing.manage,,,"'auction' is accepted as an eventType value but there is no reverse-auction bidding engine (live countdown, rank-visible bidding, multi-round descent).",,PRODUCT_DECISION,33,Confirmed: eventType is a plain text/select field with no auction-specific behavior anywhere in the code.
PROC-073,223,module,Procurement,Advanced,73,AI supplier-risk monitoring,Advanced,MISSING,NOT_READY,P3,,"No AI/ML SDK dependency found in any package.json; evaluateSupplierScore() is deterministic weighted arithmetic, not a model",database/tenant/migrations/012_procurement_module.sql,,,,No genuine model/inference pipeline exists for supplier-risk monitoring.,,MISSING_PROVIDER,33,"Per program ground rules, deterministic weighted scoring does not qualify as 'AI'; no OpenAI/Anthropic/HuggingFace SDK found anywhere in the monorepo."
PROC-074,224,module,Procurement,Advanced,74,AI spend classification,Advanced,MISSING,NOT_READY,P3,,"No AI/ML SDK dependency found; spend-analysis report is deterministic SQL GROUP BY, not classification",database/tenant/migrations/012_procurement_module.sql,,,,No genuine AI spend-classification pipeline exists.,,MISSING_PROVIDER,33,Same as PROC-073 — no model/provider integration anywhere in the repo.
PROC-075,225,module,Procurement,Advanced,75,Procurement demand forecasting,Advanced,MISSING,NOT_READY,P3,,No forecasting logic found anywhere in procurement/index.js or stock/index.js,database/tenant/migrations/012_procurement_module.sql,,,,No demand-forecasting calculation exists.,,MISSING_SERVICE,33,Grepped for demand/forecast-related function names across services/api/src — none found.
PROC-076,226,module,Procurement,Advanced,76,Automatic reorder-to-PO conversion,Advanced,MISSING,NOT_READY,P2,,No linkage from Stock's stock_reorder_rules to automatic PO/requisition creation in procurement/index.js,database/tenant/migrations/012_procurement_module.sql,,,,"No trigger, job, or function creates a PO/requisition automatically from a reorder rule.",,CROSS_MODULE_GAP,33,Confirmed by grep: procurement/index.js has zero references to reorder rules; Stock's stock_reorder_rules table (STOCK-047/048) exists but nothing consumes it to create a PO.
PROC-077,227,module,Procurement,Advanced,77,Contract lifecycle management,Advanced,PARTIAL,LIMITED,P2,,"services/api/src/procurement/index.js agreements resource with validFrom/validUntil, lifecycle, and lines",database/tenant/migrations/012_procurement_module.sql procurement_agreements,procurement.contracts.manage/.approve,,,"No renewal alerting, amendment-vs-version history beyond the generic PO amendment mechanism, or compliance-monitoring specific to contracts.",,PRODUCT_DECISION,33,"Basic agreement create/approve/activate/close lifecycle with validity dates is real; full contract-lifecycle-management capability (renewal alerts, structured amendment history, compliance tracking) is not implemented."
